t_s,T_out_C,phi_out,n_occ,u_fan_ms,Ta_sp_C,phi_room,phi_measured,omega_room_gkg,phi_in,H_gh,Tp_C,Re,Sh,hm,ref_phi,error_pct
0.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.203074,0.200000,3.313406,0.072406,209.045338,17.352164,8857.142437,51.256514,0.013109,0.300000,10.000000
30.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.204158,0.201985,3.331177,0.072796,208.920539,17.367023,8856.694858,51.255452,0.013109,0.300000,9.801462
60.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.205236,0.203074,3.348857,0.073184,208.796443,17.381797,8856.249878,51.254395,0.013109,0.300000,9.692560
90.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.206308,0.204158,3.366446,0.073571,208.673048,17.396486,8855.807479,51.253345,0.013109,0.300000,9.584223
120.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.207374,0.205236,3.383945,0.073955,208.550349,17.411092,8855.367644,51.252301,0.013110,0.300000,9.476450
150.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.208435,0.206308,3.401353,0.074337,208.428340,17.425614,8854.930356,51.251263,0.013110,0.300000,9.369236
180.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.209491,0.207374,3.418673,0.074718,208.307019,17.440054,8854.495600,51.250230,0.013110,0.300000,9.262578
210.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.210541,0.208435,3.435903,0.075096,208.186380,17.454412,8854.063358,51.249204,0.013110,0.300000,9.156474
240.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.211585,0.209491,3.453045,0.075473,208.066420,17.468688,8853.633614,51.248183,0.013110,0.300000,9.050921
270.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.212625,0.210541,3.470099,0.075847,207.947134,17.482884,8853.206353,51.247169,0.013111,0.300000,8.945915
300.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.213658,0.211585,3.487066,0.076220,207.828518,17.496998,8852.781557,51.246160,0.013111,0.300000,8.841454
330.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.214687,0.212625,3.503945,0.076590,207.710568,17.511033,8852.359212,51.245157,0.013111,0.300000,8.737536
360.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.215710,0.213658,3.520738,0.076959,207.593279,17.524988,8851.939301,51.244160,0.013111,0.300000,8.634156
390.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.216728,0.214687,3.537445,0.077326,207.476649,17.538864,8851.521809,51.243168,0.013111,0.300000,8.531312
420.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.217740,0.215710,3.554066,0.077690,207.360672,17.552661,8851.106720,51.242182,0.013112,0.300000,8.429002
450.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.218748,0.216728,3.570601,0.078053,207.245345,17.566380,8850.694018,51.241202,0.013112,0.300000,8.327222
480.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.219750,0.217740,3.587052,0.078414,207.130663,17.580022,8850.283689,51.240227,0.013112,0.300000,8.225969
510.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.220747,0.218748,3.603418,0.078774,207.016624,17.593586,8849.875717,51.239258,0.013112,0.300000,8.125242
540.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.221738,0.219750,3.619701,0.079131,206.903221,17.607074,8849.470087,51.238294,0.013112,0.300000,8.025036
570.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.222725,0.220747,3.635900,0.079487,206.790453,17.620486,8849.066783,51.237336,0.013113,0.300000,7.925350
600.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.223706,0.221738,3.652016,0.079840,206.678315,17.633822,8848.665792,51.236383,0.013113,0.300000,7.826180
630.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.224683,0.222725,3.668049,0.080192,206.566803,17.647083,8848.267098,51.235436,0.013113,0.300000,7.727524
660.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.225654,0.223706,3.684000,0.080542,206.455913,17.660269,8847.870687,51.234494,0.013113,0.300000,7.629378
690.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.226620,0.224683,3.699869,0.080890,206.345641,17.673381,8847.476544,51.233558,0.013113,0.300000,7.531741
720.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.227581,0.225654,3.715657,0.081237,206.235985,17.686419,8847.084655,51.232627,0.013114,0.300000,7.434610
750.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.228538,0.226620,3.731364,0.081581,206.126939,17.699384,8846.695005,51.231701,0.013114,0.300000,7.337982
780.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.229489,0.227581,3.746991,0.081924,206.018500,17.712275,8846.307581,51.230780,0.013114,0.300000,7.241854
810.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.230436,0.228538,3.762537,0.082265,205.910665,17.725095,8845.922367,51.229865,0.013114,0.300000,7.146223
840.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.231377,0.229489,3.778004,0.082604,205.803430,17.737842,8845.539350,51.228954,0.013114,0.300000,7.051087
870.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.232314,0.230436,3.793392,0.082942,205.696791,17.750518,8845.158517,51.228049,0.013114,0.300000,6.956444
900.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.233246,0.231377,3.808700,0.083278,205.590745,17.763122,8844.779853,51.227149,0.013115,0.500000,26.862290
930.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.234173,0.232314,3.823930,0.083612,205.485287,17.775656,8844.403344,51.226254,0.013115,0.500000,26.768623
960.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.235095,0.233246,3.839083,0.083944,205.380416,17.788120,8844.028978,51.225364,0.013115,0.500000,26.675441
990.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.236012,0.234173,3.854157,0.084274,205.276126,17.800514,8843.656740,51.224480,0.013115,0.500000,26.582741
1020.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.236925,0.235095,3.869154,0.084603,205.172414,17.812838,8843.286617,51.223600,0.013115,0.500000,26.490520
1050.000000,-10.000000,0.350000,0.000000,1.000000,40.000000,0.237833,0.236012,3.884075,0.084931,205.069277,17.825094,8842.918596,51.222725,0.013116,0.500000,26.398776
