t,T_h_ref,T_h,T_coll,T_c,G_b,m_dot_f_cmd,m_dot_wf_cmd,W_net,P_inlet,eta_th,delta_T_super,iae_cumulative
0.000000,63.000000,20.000000,20.000000,6.000000,800.000000,0.300000,0.080000,-666.009859,0.724000,-0.407296,0.000000,1290.000000
30.000000,63.000000,19.941405,21.863354,6.000000,800.000000,0.300000,0.080000,-663.328046,0.723062,-0.407361,0.000000,2581.757860
60.000000,63.000000,19.969542,23.274238,6.000000,800.000000,0.300000,0.080000,-664.615860,0.723513,-0.407329,0.000000,3872.671590
90.000000,63.000000,20.059786,24.358837,6.000000,800.000000,0.300000,0.080000,-668.746158,0.724957,-0.407230,0.000000,5160.878016
120.000000,63.000000,20.194398,25.208047,6.000000,800.000000,0.300000,0.080000,-674.907121,0.727110,-0.407084,0.000000,6445.046088
150.000000,63.000000,20.360603,25.887343,6.000000,800.000000,0.300000,0.080000,-682.514067,0.729770,-0.406908,0.000000,7724.228003
180.000000,63.000000,20.549202,26.443890,6.000000,800.000000,0.300000,0.080000,-691.145924,0.732787,-0.406713,0.000000,8997.751957
210.000000,63.000000,20.753569,26.911667,6.000000,800.000000,0.300000,0.080000,-700.499474,0.736057,-0.406507,0.000000,10265.144899
240.000000,63.000000,20.968934,27.315148,6.000000,800.000000,0.300000,0.080000,-710.356387,0.739503,-0.406296,0.000000,11526.076886
270.000000,63.000000,21.191863,27.671965,6.000000,800.000000,0.300000,0.080000,-720.559485,0.743070,-0.406084,0.000000,12780.321005
300.000000,63.000000,21.419884,27.994821,6.000000,800.000000,0.300000,0.080000,-730.995631,0.746718,-0.405874,0.000000,14027.724498
330.000000,63.000000,21.651218,28.292869,6.000000,800.000000,0.300000,0.080000,-741.583420,0.750419,-0.405666,0.000000,15268.187967
360.000000,63.000000,21.884586,28.572702,6.000000,800.000000,0.300000,0.080000,-752.264296,0.754153,-0.405463,0.000000,16501.650395
390.000000,63.000000,22.119068,28.839072,6.000000,800.000000,0.300000,0.080000,-762.996168,0.757905,-0.405265,0.000000,17728.078357
420.000000,63.000000,22.354004,29.095404,6.000000,800.000000,0.300000,0.080000,-773.748798,0.761664,-0.405073,0.000000,18947.458245
450.000000,63.000000,22.588919,29.344167,6.000000,800.000000,0.300000,0.080000,-784.500491,0.765423,-0.404886,0.000000,20159.790674
480.000000,63.000000,22.823474,29.587139,6.000000,800.000000,0.300000,0.080000,-795.235704,0.769176,-0.404704,0.000000,21365.086446
510.000000,63.000000,23.057427,29.825606,6.000000,800.000000,0.300000,0.080000,-805.943321,0.772919,-0.404528,0.000000,22563.363650
540.000000,63.000000,23.290603,30.060493,6.000000,800.000000,0.300000,0.080000,-816.615421,0.776650,-0.404357,0.000000,23754.645566
570.000000,63.000000,23.522880,30.292470,6.000000,800.000000,0.300000,0.080000,-827.246377,0.780366,-0.404191,0.000000,24938.959163
600.000000,63.000000,23.754172,30.522021,6.000000,800.000000,0.300000,0.080000,-837.832221,0.784067,-0.404030,0.000000,26116.334011
630.000000,63.000000,23.984417,30.749496,6.000000,800.000000,0.300000,0.080000,-848.370175,0.787751,-0.403874,0.000000,27286.801500
660.000000,63.000000,24.213574,30.975149,6.000000,800.000000,0.300000,0.080000,-858.858317,0.791417,-0.403723,0.000000,28450.394281
690.000000,63.000000,24.441614,31.199164,6.000000,800.000000,0.300000,0.080000,-869.295345,0.795066,-0.403576,0.000000,29607.145858
720.000000,63.000000,24.668519,31.421677,6.000000,800.000000,0.300000,0.080000,-879.680402,0.798696,-0.403434,0.000000,30757.090296
750.000000,63.000000,24.894276,31.642786,6.000000,800.000000,0.300000,0.080000,-890.012948,0.802308,-0.403295,0.000000,31900.262016
780.000000,63.000000,25.118879,31.862564,6.000000,800.000000,0.300000,0.080000,-900.292674,0.805902,-0.403161,0.000000,33036.695638
810.000000,63.000000,25.342325,32.081065,6.000000,800.000000,0.300000,0.080000,-910.519438,0.809477,-0.403030,0.000000,34166.425879
840.000000,63.000000,25.564614,32.298330,6.000000,800.000000,0.300000,0.080000,-920.693214,0.813034,-0.402903,0.000000,35289.487471
870.000000,63.000000,25.785746,32.514389,6.000000,800.000000,0.300000,0.080000,-930.814063,0.816572,-0.402780,0.000000,36405.915105
900.000000,63.000000,26.005724,32.729267,6.000000,800.000000,0.300000,0.080000,-940.882105,0.820092,-0.402660,0.000000,37515.743397
930.000000,63.000000,26.224552,32.942983,6.000000,800.000000,0.300000,0.080000,-950.897504,0.823593,-0.402543,0.000000,38619.006851
960.000000,63.000000,26.442233,33.155551,6.000000,800.000000,0.300000,0.080000,-960.860456,0.827076,-0.402429,0.000000,39715.739847
990.000000,63.000000,26.658774,33.366985,6.000000,800.000000,0.300000,0.080000,-970.771177,0.830540,-0.402318,0.047967,40805.976618
1020.000000,63.000000,26.874179,33.577295,6.000000,800.000000,0.300000,0.080000,-980.629899,0.833987,-0.402210,0.194442,41889.751250
1050.000000,63.000000,27.088453,33.786490,6.000000,800.000000,0.300000,0.080000,-990.436867,0.837415,-0.402105,0.340148,42967.097666
1080.000000,63.000000,27.301601,33.994580,6.000000,800.000000,0.300000,0.080000,-1000.192329,0.840826,-0.402002,0.485089,44038.049627
1110.000000,63.000000,27.513630,34.201570,6.000000,800.000000,0.300000,0.080000,-1009.896540,0.844218,-0.401902,0.629268,45102.640726
1140.000000,63.000000,27.724545,34.407469,6.000000,800.000000,0.300000,0.080000,-1019.549759,0.847593,-0.401805,0.772690,46160.904387
1170.000000,63.000000,27.934351,34.612283,6.000000,800.000000,0.300000,0.080000,-1029.152246,0.850950,-0.401709,0.915359,47212.873865
1200.000000,63.000000,28.143054,34.816019,6.000000,800.000000,0.300000,0.080000,-1038.704261,0.854289,-0.401617,1.057277,48258.582242
1230.000000,63.000000,28.350660,35.018682,6.000000,800.000000,0.300000,0.080000,-1048.206066,0.857611,-0.401526,1.198449,49298.062429
1260.000000,63.000000,28.557175,35.220278,6.000000,800.000000,0.300000,0.080000,-1057.657921,0.860915,-0.401437,1.338879,50331.347168
1290.000000,63.000000,28.762605,35.420814,6.000000,800.000000,0.300000,0.080000,-1067.060086,0.864202,-0.401351,1.478571,51358.469029
1320.000000,63.000000,28.966954,35.620296,6.000000,800.000000,0.300000,0.080000,-1076.412822,0.867471,-0.401266,1.617529,52379.460411
1350.000000,63.000000,29.170229,35.818728,6.000000,800.000000,0.300000,0.080000,-1085.716388,0.870724,-0.401184,1.755756,53394.353544
1380.000000,63.000000,29.372435,36.016116,6.000000,800.000000,0.300000,0.080000,-1094.971040,0.873959,-0.401103,1.893256,54403.180491
1410.000000,63.000000,29.573578,36.212467,6.000000,800.000000,0.300000,0.080000,-1104.177035,0.877177,-0.401024,2.030033,55405.973143
1440.000000,63.000000,29.773664,36.407785,6.000000,800.000000,0.300000,0.080000,-1113.334630,0.880379,-0.400947,2.166091,56402.763227
