t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,78.22,4.88,0.0000,0.0114,30.014,49.983,0.04103,43.156,0.04
0.00100,154.51,9.67,0.0000,0.0426,30.028,49.965,0.09934,43.151,0.11
0.00150,227.00,19.16,0.0000,0.0947,30.058,49.937,0.17074,42.477,0.21
0.00200,293.89,53.08,0.0001,0.2311,30.175,49.850,0.24106,39.331,0.33
0.00250,353.55,120.75,0.0003,0.5712,30.413,49.681,0.29668,33.363,0.45
0.00300,404.51,225.46,0.0007,1.2398,30.782,49.425,0.32471,23.875,0.54
0.00350,445.50,363.73,0.0016,2.3450,31.272,49.089,0.31498,10.401,0.58
0.00400,475.53,524.60,0.0032,3.9702,31.843,48.700,0.26220,-5.892,0.60
0.00450,493.84,690.14,0.0057,6.1781,32.433,48.303,0.16760,-21.677,0.70
0.00500,500.00,837.16,0.0095,8.9838,32.958,47.953,0.03982,-33.992,0.87
0.00550,493.84,940.24,0.0148,12.2855,33.328,47.712,-0.10542,-42.111,1.09
0.00600,475.53,975.81,0.0218,15.8228,33.459,47.634,-0.24696,-46.453,1.34
0.00650,445.50,928.99,0.0306,19.2027,33.298,47.756,-0.36242,-47.341,1.59
0.00700,404.51,823.65,0.0409,22.0509,32.971,48.088,-0.44708,-46.018,1.80
0.00750,353.55,643.68,0.0525,24.0155,32.487,48.780,-0.47951,-39.372,1.94
0.00800,293.89,401.36,0.0647,24.7355,31.875,49.781,-0.44974,-20.086,1.99
0.00850,227.00,119.51,0.0769,23.9492,31.191,50.989,-0.35632,25.338,2.05
0.00900,154.51,-171.58,0.0884,21.5407,30.501,52.264,-0.20722,64.648,2.21
0.00950,78.22,-437.80,0.0982,17.5693,29.880,53.448,-0.01961,81.381,2.47
0.01000,0.00,-645.59,0.1057,12.2806,29.400,54.380,0.18163,0.000,2.79
0.01050,-78.22,-766.61,0.1104,6.1310,29.120,54.922,0.36667,83.518,3.14
0.01100,-154.51,-788.30,0.1119,0.0371,29.067,55.014,0.50791,76.299,3.45
0.01150,-227.00,-705.96,0.1106,-4.9768,29.351,54.802,0.57946,64.642,3.69
0.01200,-293.89,-501.95,0.1071,-8.7921,30.062,54.286,0.54743,35.296,3.80
0.01250,-353.55,-207.96,0.1020,-11.1863,31.088,53.546,0.40151,-22.382,3.87
0.01300,-404.51,125.29,0.0962,-11.8858,32.254,52.712,0.15025,-52.638,4.13
0.01350,-445.50,434.25,0.0904,-10.8652,33.335,51.940,-0.17773,-63.143,4.57
0.01400,-475.53,652.15,0.0856,-8.4435,34.097,51.395,-0.53597,-67.135,5.14
0.01450,-493.84,725.80,0.0821,-5.3082,34.353,51.206,-0.86883,-67.957,5.75
0.01500,-500.00,655.24,0.0802,-2.3671,34.242,51.609,-1.00000,-66.596,6.33
0.01550,-493.84,428.47,0.0796,-0.5364,33.811,52.782,-1.00000,-61.833,6.79
0.01600,-475.53,83.38,0.0794,-0.3497,33.146,54.548,-1.00000,-49.608,7.07
0.01650,-445.50,-337.69,0.0789,-1.9522,32.339,56.713,-0.95726,-13.604,7.12
0.01700,-404.51,-797.98,0.0772,-5.3596,31.476,59.109,-0.70377,44.208,7.32
0.01750,-353.55,-1245.48,0.0732,-10.7023,30.667,61.491,-0.32678,68.377,7.76
0.01800,-293.89,-1612.46,0.0661,-17.9321,30.055,63.529,0.13444,77.435,8.42
0.01850,-227.00,-1833.20,0.0551,-26.5009,29.775,64.902,0.62437,81.956,9.23
0.01900,-154.51,-1853.23,0.0396,-35.4786,29.936,65.338,1.00000,84.803,10.07
0.01950,-78.22,-1649.41,0.0197,-43.7256,30.648,64.825,1.00000,87.150,10.86
0.02000,-0.00,-1203.20,-0.0038,-49.9993,32.174,63.650,1.00000,0.000,11.46
0.02050,78.22,-577.64,-0.0298,-53.1840,34.317,62.009,1.00000,83.199,11.79
0.02100,154.51,163.70,-0.0564,-52.5291,36.861,60.071,0.88414,-3.404,11.79
0.02150,227.00,954.67,-0.0816,-47.6257,39.581,58.013,0.47994,-72.675,12.16
0.02200,293.89,1695.95,-0.1033,-38.4970,42.136,56.095,-0.07887,-78.161,12.86
0.02250,353.55,2266.16,-0.1195,-25.7696,44.106,54.625,-0.71433,-79.527,13.82
0.02300,404.51,2555.21,-0.1287,-10.6859,45.104,53.881,-1.00000,-79.348,14.89
0.02350,445.50,2546.86,-0.1301,4.4720,45.122,53.979,-1.00000,-78.030,15.94
0.02400,475.53,2300.21,-0.1245,17.6357,44.539,55.063,-1.00000,-75.393,16.85
0.02450,493.84,1870.71,-0.1128,28.8803,43.503,56.916,-1.00000,-70.269,17.54
0.02500,500.00,1309.35,-0.0961,37.3983,42.138,59.319,-1.00000,-58.293,17.95
0.02550,493.84,658.71,-0.0760,42.5812,40.553,62.099,-0.99398,-18.462,18.03
0.02600,475.53,-44.46,-0.0542,44.0432,38.846,65.115,-0.65208,47.557,18.29
0.02650,445.50,-735.59,-0.0326,41.6544,37.175,68.089,-0.15257,69.334,18.88
0.02700,404.51,-1322.48,-0.0131,35.7281,35.750,70.604,0.44748,76.817,19.74
0.02750,353.55,-1717.78,0.0027,27.0570,34.766,72.258,1.00000,80.314,20.78
0.02800,293.89,-1862.52,0.0137,16.8384,34.354,72.778,1.00000,82.239,21.86
0.02850,227.00,-1745.36,0.0195,6.4691,34.736,72.438,1.00000,83.435,22.84
0.02900,154.51,-1397.50,0.0205,-2.0805,35.893,71.468,1.00000,84.315,23.62
