t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,12.57,4.88,0.0000,0.0114,30.014,49.983,0.00430,31.451,0.00
0.00100,25.13,9.67,0.0000,0.0426,30.028,49.965,0.01057,31.609,0.01
0.00150,37.70,14.28,0.0000,0.0891,30.041,49.949,0.01888,31.844,0.02
0.00200,50.26,18.68,0.0001,0.1469,30.053,49.932,0.02929,32.141,0.04
0.00250,62.82,22.82,0.0002,0.2124,30.064,49.917,0.04188,32.486,0.06
0.00300,75.38,26.92,0.0003,0.2828,30.076,49.902,0.05660,32.737,0.08
0.00350,87.94,36.28,0.0005,0.3668,30.106,49.874,0.07048,30.431,0.11
0.00400,100.49,53.66,0.0007,0.4939,30.164,49.826,0.08068,24.987,0.13
0.00450,113.04,79.15,0.0010,0.6926,30.252,49.760,0.08513,16.690,0.15
0.00500,125.58,111.54,0.0014,0.9835,30.364,49.677,0.08248,6.378,0.16
0.00550,138.12,148.34,0.0020,1.3752,30.492,49.584,0.07242,-4.233,0.16
0.00600,150.65,185.97,0.0028,1.8621,30.623,49.489,0.05583,-13.192,0.18
0.00650,163.18,220.20,0.0039,2.4241,30.743,49.403,0.03488,-19.262,0.21
0.00700,175.70,246.82,0.0052,3.0276,30.836,49.336,0.01277,-22.037,0.24
0.00750,188.22,262.29,0.0069,3.6282,30.889,49.296,-0.00663,-21.482,0.28
0.00800,200.72,264.45,0.0088,4.1741,30.895,49.288,-0.01933,-17.614,0.31
0.00850,213.22,253.68,0.0110,4.6117,30.856,49.312,-0.02221,-10.744,0.33
0.00900,225.71,238.83,0.0134,4.9112,30.802,49.346,-0.01701,-3.327,0.34
0.00950,238.19,223.07,0.0159,5.0766,30.745,49.383,-0.00448,3.633,0.35
0.01000,250.67,206.92,0.0185,5.1155,30.686,49.420,0.01530,9.901,0.37
0.01050,263.13,190.87,0.0210,5.0371,30.628,49.457,0.04217,15.356,0.40
0.01100,275.58,175.38,0.0235,4.8532,30.572,49.492,0.07583,19.981,0.45
0.01150,288.02,164.22,0.0259,4.5825,30.531,49.517,0.11404,23.260,0.52
0.01200,300.45,170.20,0.0281,4.2890,30.551,49.501,0.14855,23.438,0.58
0.01250,312.87,197.51,0.0302,4.0731,30.647,49.433,0.17273,20.240,0.64
0.01300,325.27,246.48,0.0322,4.0327,30.820,49.313,0.18106,13.617,0.68
0.01350,337.67,313.79,0.0342,4.2458,31.058,49.149,0.17001,4.045,0.69
0.01400,350.05,392.46,0.0365,4.7579,31.337,48.959,0.13889,-6.909,0.71
0.01450,362.41,472.58,0.0391,5.5758,31.622,48.765,0.09040,-16.908,0.77
0.01500,374.76,542.51,0.0421,6.6643,31.871,48.598,0.03070,-24.114,0.85
0.01550,387.10,590.67,0.0458,7.9430,32.043,48.483,-0.03119,-27.739,0.95
0.01600,399.42,607.48,0.0501,9.2848,32.104,48.445,-0.08450,-27.515,1.06
0.01650,411.73,587.35,0.0550,10.5231,32.035,48.496,-0.11827,-23.101,1.14
0.01700,424.01,546.62,0.0605,11.5012,31.892,48.598,-0.13244,-16.127,1.21
0.01750,436.29,492.13,0.0665,12.1553,31.718,48.762,-0.12569,-7.294,1.23
0.01800,448.54,418.62,0.0726,12.3912,31.505,49.019,-0.09165,3.816,1.25
0.01850,460.78,336.85,0.0788,12.1413,31.277,49.320,-0.03160,15.053,1.31
0.01900,473.00,260.11,0.0847,11.4023,31.061,49.601,0.04909,24.231,1.42
0.01950,485.20,202.57,0.0901,10.2463,30.888,49.792,0.14122,30.220,1.56
0.02000,497.38,167.56,0.0949,8.8082,30.766,49.881,0.23816,33.549,1.72
0.02050,509.54,164.05,0.0989,7.2263,30.754,49.889,0.32923,34.139,1.90
0.02100,521.68,220.91,0.1021,5.7850,30.955,49.752,0.39044,29.965,2.05
0.02150,533.80,338.64,0.1048,4.8186,31.373,49.467,0.40642,20.083,2.14
0.02200,545.90,507.04,0.1071,4.5899,31.971,49.060,0.36769,4.072,2.16
0.02250,557.98,705.69,0.1095,5.2358,32.678,48.582,0.27303,-14.827,2.24
0.02300,570.04,906.18,0.1125,6.7710,33.392,48.102,0.13076,-30.527,2.41
0.02350,582.07,1075.86,0.1164,9.1035,33.998,47.698,-0.04131,-40.309,2.65
0.02400,594.08,1182.64,0.1217,12.0134,34.382,47.448,-0.21754,-44.732,2.95
0.02450,606.07,1200.47,0.1284,15.1275,34.450,47.412,-0.36768,-44.443,3.24
