t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,12.57,4.88,0.0000,0.0114,30.014,49.983,0.00070,31.451,0.00
0.00100,25.13,9.67,0.0000,0.0426,30.028,49.965,0.00163,31.609,0.01
0.00150,37.70,14.28,0.0000,0.0891,30.041,49.949,0.00263,31.844,0.02
0.00200,50.26,18.68,0.0001,0.1469,30.053,49.932,0.00365,32.141,0.04
0.00250,62.82,22.82,0.0002,0.2124,30.064,49.917,0.00466,32.486,0.06
0.00300,75.38,26.68,0.0003,0.2827,30.075,49.902,0.00569,32.866,0.08
0.00350,87.94,30.24,0.0005,0.3550,30.084,49.888,0.00673,33.270,0.11
0.00400,100.49,33.50,0.0007,0.4272,30.092,49.875,0.00779,33.689,0.15
0.00450,113.04,36.47,0.0009,0.4975,30.100,49.863,0.00888,34.114,0.18
0.00500,125.58,39.15,0.0012,0.5645,30.106,49.851,0.01000,34.538,0.23
0.00550,138.12,41.56,0.0015,0.6270,30.112,49.840,0.01115,34.957,0.28
0.00600,150.65,43.73,0.0018,0.6844,30.116,49.829,0.01232,35.364,0.33
0.00650,163.18,45.67,0.0022,0.7362,30.120,49.820,0.01351,35.758,0.39
0.00700,175.70,47.41,0.0025,0.7820,30.123,49.810,0.01473,36.135,0.45
0.00750,188.22,48.98,0.0029,0.8217,30.126,49.802,0.01596,36.493,0.52
0.00800,200.72,50.39,0.0034,0.8556,30.128,49.793,0.01721,36.832,0.60
0.00850,213.22,51.67,0.0038,0.8836,30.129,49.785,0.01847,37.149,0.68
0.00900,225.71,52.85,0.0042,0.9063,30.131,49.777,0.01975,37.446,0.76
0.00950,238.19,53.95,0.0047,0.9239,30.132,49.770,0.02103,37.722,0.86
0.01000,250.67,54.98,0.0052,0.9370,30.132,49.762,0.02231,37.978,0.95
0.01050,263.13,55.97,0.0056,0.9459,30.133,49.755,0.02360,38.214,1.06
0.01100,275.58,56.98,0.0061,0.9512,30.134,49.748,0.02488,38.423,1.17
