time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,6776.63,0.00,0.0000
0.50,2.8052,0.0075,0.0443,0.0789,0.4713,-129730.49,-61143.90,0.0053
1.00,5.0548,0.0575,0.1669,0.6907,2.0727,-291377.83,-603937.89,0.0335
1.50,6.3032,0.1829,0.3400,2.3057,4.3874,-134886.42,-591805.78,0.0959
2.00,6.3032,0.3992,0.5234,4.9295,6.0086,168924.27,1014990.97,0.1981
2.50,5.0548,0.7007,0.6732,7.9826,6.0313,481782.86,2905787.33,0.3384
3.00,2.8052,1.0602,0.7502,10.5708,4.1223,496985.46,2048737.58,0.5087
3.50,0.0000,1.4343,0.7285,11.8973,1.0042,487748.79,489790.56,0.6954
4.00,-2.8052,1.7708,0.6003,11.4261,-3.0028,479790.36,-1440732.51,0.8822
4.50,-5.0548,2.0188,0.3781,8.8328,-7.3793,314818.20,-2323151.24,1.0526
5.00,-6.3032,2.1383,0.0924,4.1996,-11.0439,129731.34,-1432738.39,1.1929
5.50,-6.3032,2.1078,-0.2138,-1.9272,-13.2449,-63049.58,835086.83,1.2941
6.00,-5.0548,1.9289,-0.4935,-8.6605,-13.3948,-276523.90,3703976.23,1.3535
6.50,-2.8052,1.6259,-0.7043,-14.8733,-11.1421,-486584.45,5421555.67,1.3748
7.00,-0.0000,1.2412,-0.8168,-19.3664,-6.5594,-500000.00,3279722.79,1.3663
7.50,2.8052,0.8275,-0.8199,-21.1930,-0.5747,-489905.87,281537.13,1.3390
8.00,5.0548,0.4381,-0.7229,-19.8395,6.0195,-500000.00,-3009774.97,1.3033
8.50,6.3032,0.1168,-0.5533,-15.2159,12.3434,-449385.93,-5546938.76,1.2669
9.00,6.3032,-0.1097,-0.3510,-7.7407,17.2725,-280498.29,-4844899.80,1.2334
9.50,5.0548,-0.2362,-0.1608,1.5993,19.6902,-3123.85,-61509.19,1.2033
10.00,2.8052,-0.2792,-0.0226,11.3423,18.8404,200263.54,3773051.36,1.1759
10.50,0.0000,-0.2723,0.0357,19.8727,14.8734,420524.24,6254636.16,1.1503
11.00,-2.8052,-0.2587,0.0043,25.7114,8.1844,494502.97,4047221.84,1.1263
11.50,-5.0548,-0.2814,-0.1067,27.7880,-0.0078,497840.85,-3897.37,1.1041
12.00,-6.3032,-0.3742,-0.2697,25.6669,-8.4095,372494.44,-3132484.43,1.0844
12.50,-6.3032,-0.5532,-0.4449,19.6225,-15.5114,253229.68,-3927948.80,1.0688
13.00,-5.0548,-0.8137,-0.5883,10.5720,-20.2831,167747.86,-3402449.04,1.0605
13.50,-2.8052,-1.1297,-0.6613,-0.1416,-22.0762,2786.25,-61509.99,1.0630
14.00,-0.0000,-1.4588,-0.6377,-10.8871,-20.4065,-168372.50,3435886.41,1.0791
14.50,2.8052,-1.7498,-0.5098,-19.9661,-15.4922,-360426.43,5583797.20,1.1080
15.00,5.0548,-1.9531,-0.2902,-25.9064,-8.0073,-500000.00,4003642.51,1.1451
15.50,6.3032,-2.0298,-0.0094,-27.7192,0.8135,-476193.08,-387364.91,1.1828
16.00,6.3032,-1.9594,0.2900,-25.1566,9.2828,-388022.09,-3601918.06,1.2136
16.50,5.0548,-1.7445,0.5610,-18.7453,16.0244,-301526.89,-4831783.14,1.2325
17.00,2.8052,-1.4102,0.7615,-9.5997,20.0955,-149371.42,-3001694.11,1.2379
17.50,0.0000,-0.9998,0.8623,0.7539,20.8125,7400.10,154014.17,1.2319
18.00,-2.8052,-0.5665,0.8526,10.6135,18.1643,221243.10,4018721.11,1.2187
18.50,-5.0548,-0.1641,0.7421,18.3705,12.5276,397864.66,4984285.27,1.2029
19.00,-6.3032,0.1633,0.5585,22.7767,4.9445,499109.24,2467864.06,1.1877
19.50,-6.3032,0.3889,0.3423,23.2000,-3.1971,470961.08,-1505692.29,1.1743
20.00,-5.0548,0.5077,0.1383,19.7516,-10.3519,389067.54,-4027593.56,1.1626
20.50,-2.8052,0.5361,-0.0129,13.2252,-15.3687,242109.93,-3720912.88,1.1517
21.00,-0.0000,0.5083,-0.0834,4.9080,-17.4489,-6958.68,121421.43,1.1408
21.50,2.8052,0.4681,-0.0629,-3.6110,-16.1973,-183924.64,2979078.60,1.1300
22.00,5.0548,0.4591,0.0388,-10.7843,-12.1653,-430832.66,5241193.06,1.1195
22.50,6.3032,0.5159,0.1941,-15.3617,-5.9746,-494589.41,2954997.30,1.1099
23.00,6.3032,0.6556,0.3635,-16.6388,0.8508,-475969.89,-404978.05,1.1021
23.50,5.0548,0.8744,0.5033,-14.6286,7.0006,-401151.38,-2808306.67,1.0979
24.00,2.8052,1.1474,0.5747,-9.9489,11.3982,-212572.18,-2422947.76,1.0989
24.50,0.0000,1.4333,0.5518,-3.7120,13.1687,-34674.51,-456618.79,1.1066
25.00,-2.8052,1.6820,0.4267,2.7217,12.2018,185242.50,2260286.80,1.1207
25.50,-5.0548,1.8449,0.2119,8.0203,8.7190,407111.89,3549605.79,1.1390
26.00,-6.3032,1.8839,-0.0622,11.0921,3.4399,500000.00,1719946.77,1.1575
26.50,-6.3032,1.7798,-0.3531,11.3555,-2.3464,407236.25,-955544.82,1.1720
27.00,-5.0548,1.5358,-0.6141,8.9241,-7.1871,253658.12,-1823055.95,1.1796
27.50,-2.8052,1.1778,-0.8033,4.5195,-10.1327,58461.12,-592368.73,1.1796
28.00,-0.0000,0.7495,-0.8918,-0.7551,-10.6269,-97946.41,1040871.17,1.1734
28.50,2.8052,0.3046,-0.8692,-5.6737,-8.7402,-307546.27,2688016.72,1.1639
29.00,5.0548,-0.1027,-0.7454,-9.0952,-4.7377,-500000.00,2368848.13,1.1541
29.50,6.3032,-0.4285,-0.5485,-10.1489,0.5851,-500000.00,-292573.41,1.1458
30.00,6.3032,-0.6458,-0.3192,-8.5269,5.8060,-378533.45,-2197770.52,1.1394
30.50,5.0548,-0.7499,-0.1029,-4.5896,9.7097,-211372.40,-2052355.63,1.1341
31.00,2.8052,-0.7577,0.0597,0.7907,11.4906,-55316.68,-635621.60,1.1292
31.50,0.0000,-0.7040,0.1404,6.4591,10.8412,131379.48,1424307.62,1.1237
32.00,-2.8052,-0.6329,0.1286,11.1855,7.7734,379842.85,2952682.31,1.1178
32.50,-5.0548,-0.5893,0.0340,13.8340,2.6466,500000.00,1323300.25,1.1117
33.00,-6.3032,-0.6083,-0.1162,13.6565,-3.3727,451124.89,-1521512.64,1.1059
33.50,-6.3032,-0.7082,-0.2823,10.5583,-8.8727,348987.66,-3096473.54,1.1011
34.00,-5.0548,-0.8860,-0.4209,5.0702,-12.7955,48509.75,-620707.08,1.0982
34.50,-2.8052,-1.1179,-0.4932,-1.7142,-13.9803,-162923.05,2277710.08,1.0985
35.00,-0.0000,-1.3637,-0.4731,-8.3994,-12.3933,-303438.18,3760590.56,1.1027
35.50,2.8052,-1.5742,-0.3529,-13.6721,-8.3962,-487381.24,4092170.01,1.1106
36.00,5.0548,-1.7017,-0.1447,-16.4340,-2.4807,-500000.00,1240364.17,1.1208
36.50,6.3032,-1.7092,0.1211,-16.0518,4.0150,-457359.64,-1836318.79,1.1308
37.00,6.3032,-1.5780,0.4023,-12.5264,9.9219,-313631.79,-3111831.18,1.1379
37.50,5.0548,-1.3121,0.6524,-6.4619,14.0318,-152926.30,-2145832.52,1.1404
38.00,2.8052,-0.9378,0.8298,1.0462,15.6118,66636.69,1040316.30,1.1380
38.50,0.0000,-0.4993,0.9060,8.6048,14.2254,197078.01,2803515.41,1.1321
39.00,-2.8052,-0.0506,0.8707,14.8113,10.2685,389104.40,3995521.08,1.1249
39.50,-5.0548,0.3544,0.7342,18.4764,4.1930,500000.00,2096516.09,1.1186
40.00,-6.3032,0.6714,0.5250,18.8173,-2.8541,460082.19,-1313112.82,1.1142
40.50,-6.3032,0.8741,0.2841,15.7140,-9.4028,335110.21,-3150970.36,1.1115
41.00,-5.0548,0.9579,0.0571,9.7320,-14.2177,116172.98,-1651717.45,1.1098
41.50,-2.8052,0.9404,-0.1151,1.9997,-16.3110,42805.75,-698203.41,1.1079
42.00,-0.0000,0.8568,-0.2038,-6.1076,-15.6967,-183092.81,2873961.96,1.1053
42.50,2.8052,0.7523,-0.1986,-13.1486,-12.1049,-355212.69,4299818.62,1.1019
43.00,5.0548,0.6725,-0.1087,-17.7953,-6.2491,-486518.84,3040318.39,1.0979
43.50,6.3032,0.6533,0.0386,-19.1635,0.8343,-459526.16,-383362.88,1.0939
44.00,6.3032,0.7141,0.2039,-17.0128,7.6413,-360164.86,-2752125.12,1.0903
44.50,5.0548,0.8530,0.3436,-11.7979,12.9316,-207200.20,-2679424.53,1.0880
45.00,2.8052,1.0469,0.4189,-4.5277,15.7580,-97309.67,-1533402.84,1.0875
45.50,-0.0000,1.2566,0.4036,3.4693,15.8064,48856.93,772250.14,1.0895
46.00,-2.8052,1.4340,0.2899,10.7717,13.0256,219543.63,2859685.06,1.0938
46.50,-5.0548,1.5320,0.0898,16.0571,7.8569,389386.22,3059353.66,1.0994
47.00,-6.3032,1.5143,-0.1667,18.3393,1.1811,495534.10,585283.34,1.1045
47.50,-6.3032,1.3629,-0.4374,17.1731,-5.7499,421670.99,-2424562.55,1.1075
48.00,-5.0548,1.0822,-0.6762,12.8203,-11.3998,334640.43,-3814842.14,1.1073
48.50,-2.8052,0.6990,-0.8417,6.1580,-14.8727,77843.66,-1157745.96,1.1039
49.00,-0.0000,0.2575,-0.9058,-1.4810,-15.2682,-169747.99,2591750.93,1.0986
49.50,2.8052,-0.1881,-0.8586,-8.5472,-12.6258,-273802.60,3456969.91,1.0933
50.00,5.0548,-0.5841,-0.7105,-13.7149,-7.7866,-465933.78,3628041.03,1.0894
50.50,6.3032,-0.8864,-0.4902,-16.0295,-1.3776,-499070.71,687515.34,1.0876
51.00,6.3032,-1.0691,-0.2393,-15.0665,5.1433,-462300.31,-2377765.35,1.0874
51.50,5.0548,-1.1282,-0.0033,-11.0813,10.5501,-311461.05,-3285930.87,1.0878
52.00,2.8052,-1.0819,0.1764,-4.9244,13.7197,-165689.94,-2273211.07,1.0877
52.50,0.0000,-0.9661,0.2711,2.1556,14.2031,-23372.27,-331958.09,1.0867
53.00,-2.8052,-0.8269,0.2701,8.7962,11.9984,153792.04,1845259.33,1.0845
53.50,-5.0548,-0.7106,0.1826,13.7241,7.4602,401360.65,2994236.06,1.0817
54.00,-6.3032,-0.6543,0.0359,15.9210,1.2357,500000.00,617850.97,1.0785
54.50,-6.3032,-0.6780,-0.1306,14.8947,-5.2533,459048.70,-2411510.56,1.0755
55.00,-5.0548,-0.7809,-0.2734,10.8669,-10.6091,318596.46,-3380017.14,1.0732
55.50,-2.8052,-0.9408,-0.3534,4.6877,-13.7495,175809.56,-2417302.01,1.0721
56.00,-0.0000,-1.1193,-0.3446,-2.4014,-14.2095,53356.37,-758169.01,1.0726
56.50,2.8052,-1.2691,-0.2387,-9.0515,-12.0296,-188010.35,2261689.97,1.0744
57.00,5.0548,-1.3437,-0.0477,-13.9612,-7.3580,-392392.54,2887218.46,1.0771
57.50,6.3032,-1.3074,0.1987,-16.1032,-1.1199,-500000.00,559946.69,1.0793
58.00,6.3032,-1.1427,0.4586,-15.0125,5.3925,-448928.51,-2420828.31,1.0798
58.50,5.0548,-0.8543,0.6861,-10.9185,10.7329,-338412.31,-3632158.32,1.0781
59.00,2.8052,-0.4690,0.8401,-4.6653,13.9188,-199288.49,-2773855.61,1.0744
59.50,-0.0000,-0.0312,0.8928,2.5183,14.4146,-16515.91,-238070.00,1.0699
60.00,-2.8052,0.4052,0.8345,9.2386,12.1045,126851.20,1535467.14,1.0662
60.50,-5.0548,0.7865,0.6761,14.2125,7.5369,313211.58,2360649.57,1.0642
61.00,-6.3032,1.0693,0.4464,16.4765,1.4240,492862.89,701813.42,1.0642
61.50,-6.3032,1.2279,0.1871,15.5180,-5.1712,484448.41,-2505176.35,1.0656
62.00,-5.0548,1.2591,-0.0558,11.4842,-10.7139,290251.53,-3109715.25,1.0673
62.50,-2.8052,1.1818,-0.2410,5.2423,-13.8932,134962.60,-1875058.34,1.0683
63.00,-0.0000,1.0327,-0.3395,-1.9176,-14.3464,-1960.91,28132.02,1.0680
63.50,2.8052,0.8587,-0.3406,-8.6229,-12.1123,-111798.03,1354130.00,1.0665
64.00,5.0548,0.7069,-0.2535,-13.6393,-7.6967,-290482.06,2235751.27,1.0642
64.50,6.3032,0.6154,-0.1054,-16.0214,-1.7314,-496128.06,859015.30,1.0615
65.00,6.3032,0.6052,0.0643,-15.2304,4.8149,-427572.07,-2058717.79,1.0587
65.50,5.0548,0.6760,0.2118,-11.4159,10.2009,-344328.67,-3512468.10,1.0564
66.00,2.8052,0.8067,0.2981,-5.3904,13.5463,-149908.12,-2030699.12,1.0547
66.50,0.0000,0.9594,0.2969,1.6193,14.0968,60836.30,857594.61,1.0540
67.00,-2.8052,1.0874,0.1998,8.1833,11.8019,224848.03,2653636.36,1.0543
67.50,-5.0548,1.1450,0.0185,13.0031,7.2282,428564.45,3097767.90,1.0550
68.00,-6.3032,1.0967,-0.2175,15.1069,1.0973,490420.07,538141.98,1.0553
68.50,-6.3032,0.9253,-0.4666,14.0592,-5.2012,463256.25,-2409499.01,1.0544
69.00,-5.0548,0.6356,-0.6831,10.0941,-10.4139,265418.37,-2764041.96,1.0520
69.50,-2.8052,0.2545,-0.8264,4.0781,-13.2992,49486.62,-658133.58,1.0484
