time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,21.8414,0.0051,0.0306,0.0572,0.3374,-500000.00,-168693.79,0.0036
1.00,41.5448,0.0402,0.1186,0.7414,2.4615,-500000.00,-1230774.24,0.0234
1.50,57.1815,0.1315,0.2527,2.5531,4.7880,-500000.00,-2394020.27,0.0688
2.00,67.2209,0.2978,0.4158,5.4998,6.9366,-500000.00,-3468318.13,0.1467
2.50,70.6802,0.5485,0.5866,9.3956,8.5242,-500000.00,-4262098.35,0.2609
3.00,67.2209,0.8818,0.7420,13.8741,9.2197,-500000.00,-4609832.89,0.4116
3.50,57.1815,1.2842,0.8592,18.4266,8.7934,-500000.00,-4396692.04,0.5953
4.00,41.5448,1.7314,0.9185,22.4634,7.1543,-500000.00,-3577154.67,0.8050
4.50,21.8414,2.1905,0.9051,25.3882,4.3702,500000.00,2185099.27,1.0311
5.00,0.0000,2.6229,0.8110,26.0693,-1.7306,500000.00,-865281.07,1.2617
5.50,-21.8414,2.9879,0.6359,23.6224,-8.0379,500000.00,-4018929.99,1.4843
6.00,-41.5448,3.2466,0.3877,18.1047,-13.9064,500000.00,-6953223.26,1.6866
6.50,-57.1815,3.3659,0.0816,9.8959,-18.7021,500000.00,-9351071.79,1.8576
7.00,-67.2209,3.3221,-0.2610,-0.3244,-21.8712,500000.00,-10935588.38,1.9890
7.50,-70.6802,3.1031,-0.6144,-11.6332,-23.0036,500000.00,-11501817.41,2.0763
8.00,-67.2209,2.7105,-0.9507,-22.9496,-21.8839,500000.00,-10941931.30,2.1188
8.50,-57.1815,2.1598,-1.2427,-33.1402,-18.5218,500000.00,-9260912.39,2.1211
9.00,-41.5448,1.4793,-1.4663,-41.1353,-13.1614,-500000.00,6580696.05,2.0923
9.50,-21.8414,0.7081,-1.6028,-45.4333,-3.8655,-500000.00,1932735.76,2.0454
10.00,-0.0000,-0.1070,-1.6405,-44.9075,5.9829,-500000.00,-2991470.49,1.9963
10.50,21.8414,-0.9153,-1.5760,-39.5141,15.4492,-500000.00,-7724586.14,1.9601
11.00,41.5448,-1.6667,-1.4144,-29.6764,23.6151,-500000.00,-11807551.58,1.9483
11.50,57.1815,-2.3156,-1.1688,-16.2535,29.6692,-500000.00,-14834622.81,1.9650
12.00,67.2209,-2.8248,-0.8594,-0.4665,32.9883,-500000.00,-16494171.96,2.0064
12.50,70.6802,-3.1685,-0.5112,16.2132,33.2022,-500000.00,-16601104.59,2.0633
13.00,67.2209,-3.3342,-0.1521,32.2012,30.2350,-500000.00,-15117497.40,2.1239
13.50,57.1815,-3.3235,0.1901,45.9524,24.3183,500000.00,12159166.18,2.1782
14.00,41.5448,-3.1512,0.4899,55.5018,13.5760,500000.00,6788016.09,2.2189
14.50,21.8414,-2.8442,0.7264,59.3072,1.5195,500000.00,759765.55,2.2425
15.00,0.0000,-2.4378,0.8855,56.9883,-10.7309,500000.00,-5365440.94,2.2491
15.50,-21.8414,-1.9727,0.9605,48.7360,-22.0287,500000.00,-11014351.88,2.2410
16.00,-41.5448,-1.4911,0.9530,35.2983,-31.3088,500000.00,-15654385.68,2.2220
16.50,-57.1815,-1.0320,0.8723,17.9142,-37.6882,500000.00,-18844108.70,2.1962
17.00,-67.2209,-0.6283,0.7344,-1.7993,-40.5512,500000.00,-20275598.18,2.1672
17.50,-70.6802,-0.3037,0.5599,-21.9977,-39.6092,500000.00,-19804584.79,2.1375
18.00,-67.2209,-0.0706,0.3724,-40.7807,-34.9308,500000.00,-17465382.72,2.1084
18.50,-57.1815,0.0704,0.1954,-56.3714,-26.9381,-500000.00,13469029.40,2.0805
19.00,-41.5448,0.1302,0.0505,-66.6760,-13.9708,-500000.00,6985424.33,2.0538
19.50,-21.8414,0.1292,-0.0454,-70.1330,0.2398,-500000.00,-119879.93,2.0280
20.00,-0.0000,0.0948,-0.0815,-66.4491,14.3713,-500000.00,-7185640.38,2.0032
20.50,21.8414,0.0583,-0.0541,-55.9951,27.1109,-500000.00,-13555468.45,1.9792
21.00,41.5448,0.0507,0.0326,-39.7701,37.2773,-500000.00,-18638667.91,1.9561
21.50,57.1815,0.0991,0.1677,-19.3078,43.9301,-500000.00,-21965040.94,1.9338
22.00,67.2209,0.2236,0.3339,3.4670,46.4571,-500000.00,-23228565.88,1.9125
22.50,70.6802,0.4346,0.5099,26.4181,44.6317,-500000.00,-22315862.91,1.8927
23.00,67.2209,0.7312,0.6722,47.3975,38.6335,500000.00,19316761.56,1.8755
23.50,57.1815,1.1007,0.7982,63.8364,26.6334,500000.00,13316723.76,1.8626
24.00,41.5448,1.5199,0.8676,73.6355,12.2818,500000.00,6140897.78,1.8563
24.50,21.8414,1.9564,0.8656,75.9473,-3.0845,500000.00,-1542246.31,1.8583
25.00,0.0000,2.3721,0.7838,70.6190,-18.0438,500000.00,-9021877.61,1.8697
25.50,-21.8414,2.7267,0.6217,58.2027,-31.2202,500000.00,-15610091.65,1.8899
26.00,-41.5448,2.9816,0.3867,39.9003,-41.4098,500000.00,-20704875.78,1.9163
26.50,-57.1815,3.1037,0.0937,17.4495,-47.6900,500000.00,-23845010.64,1.9448
27.00,-67.2209,3.0691,-0.2361,-7.0395,-49.5038,500000.00,-24751901.04,1.9710
27.50,-70.6802,2.8657,-0.5773,-31.2801,-46.7090,500000.00,-23354523.74,1.9905
28.00,-67.2209,2.4945,-0.9024,-53.0220,-39.5904,-500000.00,19795223.15,2.0005
28.50,-57.1815,1.9705,-1.1846,-69.6491,-26.4333,-500000.00,13216625.51,2.0000
29.00,-41.5448,1.3212,-1.3998,-79.0725,-11.0000,-500000.00,5500008.71,1.9904
29.50,-21.8414,0.5849,-1.5296,-80.5077,5.2727,-500000.00,-2636370.41,1.9752
30.00,-0.0000,-0.1922,-1.5625,-73.9102,20.8854,-500000.00,-10442680.80,1.9591
30.50,21.8414,-0.9607,-1.4951,-59.9724,34.4120,-500000.00,-17206001.74,1.9470
31.00,41.5448,-1.6714,-1.3326,-40.0538,44.6300,-500000.00,-22314994.63,1.9430
31.50,57.1815,-2.2796,-1.0882,-16.0508,50.6299,-500000.00,-25314929.60,1.9487
32.00,67.2209,-2.7493,-0.7820,9.7810,51.8963,-500000.00,-25948125.72,1.9635
32.50,70.6802,-3.0555,-0.4389,35.0373,48.3524,-500000.00,-24176198.63,1.9845
33.00,67.2209,-3.1867,-0.0867,57.3866,40.3643,500000.00,20182168.59,2.0077
33.50,57.1815,-3.1453,0.2470,74.1749,26.3062,500000.00,13153099.44,2.0291
34.00,41.5448,-2.9470,0.5370,83.3195,10.0281,500000.00,5014042.57,2.0453
34.50,21.8414,-2.6191,0.7626,84.0841,-6.9556,500000.00,-3477782.33,2.0547
35.00,0.0000,-2.1975,0.9098,76.5072,-23.0838,500000.00,-11541877.22,2.0567
35.50,-21.8414,-1.7234,0.9725,61.3899,-36.8909,500000.00,-18445473.37,2.0525
36.00,-41.5448,-1.2389,0.9524,40.2139,-47.1391,500000.00,-23569570.51,2.0435
36.50,-57.1815,-0.7832,0.8592,14.9996,-52.9282,500000.00,-26464100.62,2.0317
37.00,-67.2209,-0.3892,0.7091,-11.8841,-53.7746,500000.00,-26887322.09,2.0186
37.50,-70.6802,-0.0801,0.5232,-37.9402,-49.6520,500000.00,-24825995.77,2.0053
38.00,-67.2209,0.1320,0.3252,-60.7732,-40.9893,-500000.00,20494643.50,1.9923
38.50,-57.1815,0.2471,0.1390,-77.6983,-26.2297,-500000.00,13114869.69,1.9797
39.00,-41.5448,0.2766,-0.0137,-86.6366,-9.2917,-500000.00,4645859.60,1.9674
39.50,-21.8414,0.2419,-0.1158,-86.8883,8.2494,-500000.00,-4124678.84,1.9552
40.00,-0.0000,0.1712,-0.1562,-78.5558,24.7843,-500000.00,-12392137.84,1.9432
40.50,21.8414,0.0966,-0.1314,-62.5242,38.8160,-500000.00,-19408008.12,1.9314
41.00,41.5448,0.0501,-0.0451,-40.3701,49.0940,-500000.00,-24547012.64,1.9197
41.50,57.1815,0.0599,0.0913,-14.2107,54.7248,-500000.00,-27362408.18,1.9082
42.00,67.2209,0.1470,0.2608,13.4969,55.2492,-500000.00,-27624593.83,1.8970
42.50,70.6802,0.3226,0.4418,40.1827,50.6794,500000.00,25339698.13,1.8863
43.00,67.2209,0.5868,0.6110,62.7910,39.0948,500000.00,19547420.24,1.8765
43.50,57.1815,0.9277,0.7451,78.7102,24.1352,500000.00,12067607.06,1.8684
44.00,41.5448,1.3227,0.8241,86.5951,7.2068,500000.00,3603416.58,1.8632
44.50,21.8414,1.7400,0.8326,85.8487,-10.1260,500000.00,-5063016.72,1.8619
45.00,0.0000,2.1421,0.7621,76.6661,-26.2837,500000.00,-13141865.35,1.8652
45.50,-21.8414,2.4888,0.6118,60.0061,-39.8135,500000.00,-19906747.19,1.8731
46.00,-41.5448,2.7417,0.3888,37.4948,-49.5188,500000.00,-24759388.53,1.8845
46.50,-57.1815,2.8679,0.1077,11.2700,-54.5642,500000.00,-27282109.81,1.8977
47.00,-67.2209,2.8432,-0.2106,-16.2190,-54.5471,500000.00,-27273559.09,1.9101
47.50,-70.6802,2.6552,-0.5410,-42.4370,-49.5293,-500000.00,24764641.94,1.9193
48.00,-67.2209,2.3047,-0.8564,-64.3851,-37.6283,-500000.00,18814166.54,1.9237
48.50,-57.1815,1.8059,-1.1299,-79.5241,-22.5077,-500000.00,11253872.85,1.9225
49.00,-41.5448,1.1858,-1.3379,-86.5892,-5.5816,-500000.00,2790812.45,1.9165
49.50,-21.8414,0.4820,-1.4620,-85.0635,11.5939,-500000.00,-5796967.70,1.9075
50.00,-0.0000,-0.2603,-1.4910,-75.2145,27.4619,-500000.00,-13730929.36,1.8982
50.50,21.8414,-0.9925,-1.4214,-58.0593,40.6035,-500000.00,-20301752.37,1.8914
51.00,41.5448,-1.6661,-1.2587,-35.2627,49.8642,-500000.00,-24932087.33,1.8894
51.50,57.1815,-2.2377,-1.0158,-8.9796,54.4537,-500000.00,-27226855.43,1.8930
52.00,67.2209,-2.6719,-0.7130,18.3461,54.0135,-500000.00,-27006742.45,1.9020
52.50,70.6802,-2.9448,-0.3749,44.2057,48.6441,500000.00,24322052.23,1.9144
53.00,67.2209,-3.0456,-0.0293,65.6441,36.4933,500000.00,18246628.54,1.9281
53.50,57.1815,-2.9774,0.2964,80.1781,21.2433,500000.00,10621661.56,1.9404
54.00,41.5448,-2.7567,0.5772,86.6051,4.3149,500000.00,2157437.90,1.9495
54.50,21.8414,-2.4112,0.7926,84.4710,-12.7420,500000.00,-6370981.41,1.9541
55.00,0.0000,-1.9773,0.9290,74.0999,-28.3874,500000.00,-14193676.62,1.9544
55.50,-21.8414,-1.4964,0.9804,56.5543,-41.2290,500000.00,-20614481.13,1.9507
56.00,-41.5448,-1.0108,0.9489,33.5302,-50.1445,500000.00,-25072257.29,1.9444
56.50,-57.1815,-0.5597,0.8444,7.1960,-54.3790,500000.00,-27189499.38,1.9366
57.00,-67.2209,-0.1758,0.6835,-20.0080,-53.6082,500000.00,-26804083.58,1.9282
57.50,-70.6802,0.1179,0.4874,-45.5932,-47.9630,-500000.00,23981498.88,1.9199
58.00,-67.2209,0.3098,0.2802,-66.6381,-35.6148,-500000.00,17807417.11,1.9119
