time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,21.8414,0.0051,0.0306,0.0572,0.3374,500000.00,168693.79,0.0036
1.00,41.5448,0.0402,0.1186,0.1318,0.0631,500000.00,31558.35,0.0234
1.50,57.1815,0.1315,0.2527,0.2128,0.3371,500000.00,168554.28,0.0688
2.00,67.2209,0.2978,0.4158,0.5275,0.9582,500000.00,479107.97,0.1467
2.50,70.6802,0.5485,0.5866,1.1853,1.6635,500000.00,831762.76,0.2609
3.00,67.2209,0.8818,0.7420,2.1584,2.1747,500000.00,1087372.10,0.4116
3.50,57.1815,1.2842,0.8592,3.2859,2.2458,500000.00,1122882.76,0.5953
4.00,41.5448,1.7314,0.9185,4.3011,1.7048,500000.00,852417.64,0.8050
4.50,21.8414,2.1905,0.9051,4.8764,0.4856,500000.00,242786.42,1.0311
5.00,0.0000,2.6229,0.8110,4.6814,-1.3574,-219497.39,297936.10,1.2617
5.50,-21.8414,2.9879,0.6359,3.8816,-1.9244,-500000.00,962207.04,1.4843
6.00,-41.5448,3.2466,0.3877,2.8561,-2.2436,-500000.00,1121776.24,1.6866
6.50,-57.1815,3.3659,0.0816,1.5854,-2.8739,-500000.00,1436926.80,1.8576
7.00,-67.2209,3.3221,-0.2610,-0.0327,-3.5917,-500000.00,1795857.91,1.9890
7.50,-70.6802,3.1031,-0.6144,-1.9776,-4.1376,-500000.00,2068822.79,2.0763
8.00,-67.2209,2.7105,-0.9507,-4.0994,-4.2611,-500000.00,2130527.83,2.1188
8.50,-57.1815,2.1598,-1.2427,-6.1343,-3.7640,-500000.00,1882001.12,2.1211
9.00,-41.5448,1.4793,-1.4663,-7.7406,-2.5378,-500000.00,1268877.41,2.0923
9.50,-21.8414,0.7081,-1.6028,-8.5499,-0.5871,-500000.00,293538.12,2.0454
10.00,-0.0000,-0.1070,-1.6405,-8.2268,1.9613,457514.54,897319.82,1.9963
10.50,21.8414,-0.9153,-1.5760,-7.1117,2.5709,500000.00,1285432.86,1.9601
11.00,41.5448,-1.6667,-1.4144,-5.6207,3.4396,500000.00,1719799.05,1.9483
11.50,57.1815,-2.3156,-1.1688,-3.6431,4.4785,500000.00,2239254.06,1.9650
12.00,67.2209,-2.8248,-0.8594,-1.1563,5.4319,500000.00,2715929.91,2.0064
12.50,70.6802,-3.1685,-0.5112,1.7285,6.0261,500000.00,3013059.88,2.0633
13.00,67.2209,-3.3342,-0.1521,4.7682,6.0152,500000.00,3007606.66,2.1239
13.50,57.1815,-3.3235,0.1901,7.6123,5.2229,500000.00,2611463.10,2.1782
14.00,41.5448,-3.1512,0.4899,9.8473,3.5766,500000.00,1788280.20,2.2189
14.50,21.8414,-2.8442,0.7264,11.0535,1.1271,500000.00,563538.36,2.2425
15.00,0.0000,-2.4378,0.8855,10.8689,-1.9473,-500000.00,973663.27,2.2491
15.50,-21.8414,-1.9727,0.9605,9.6593,-2.9567,-500000.00,1478358.85,2.2410
16.00,-41.5448,-1.4911,0.9530,7.8606,-4.2708,-500000.00,2135416.56,2.2220
16.50,-57.1815,-1.0320,0.8723,5.3765,-5.6541,-500000.00,2827025.38,2.1962
17.00,-67.2209,-0.6283,0.7344,2.2423,-6.8227,-500000.00,3411346.47,2.1672
17.50,-70.6802,-0.3037,0.5599,-1.3620,-7.4890,-500000.00,3744482.05,2.1375
18.00,-67.2209,-0.0706,0.3724,-5.1209,-7.4069,-500000.00,3703450.84,2.1084
18.50,-57.1815,0.0704,0.1954,-8.6157,-6.4141,-500000.00,3207032.95,2.0805
19.00,-41.5448,0.1302,0.0505,-11.3737,-4.4632,-500000.00,2231607.26,2.0538
19.50,-21.8414,0.1292,-0.0454,-12.9318,-1.6394,-500000.00,819722.77,2.0280
20.00,-0.0000,0.0948,-0.0815,-12.9026,1.8399,500000.00,919953.29,2.0032
20.50,21.8414,0.0583,-0.0541,-11.6466,3.2448,500000.00,1622377.49,1.9792
21.00,41.5448,0.0507,0.0326,-9.6140,4.9075,500000.00,2453772.55,1.9561
21.50,57.1815,0.0991,0.1677,-6.7401,6.5616,500000.00,3280824.39,1.9338
22.00,67.2209,0.2236,0.3339,-3.1049,7.9013,500000.00,3950660.22,1.9125
22.50,70.6802,0.4346,0.5099,1.0582,8.6273,500000.00,4313653.01,1.8927
23.00,67.2209,0.7312,0.6722,5.3779,8.4934,500000.00,4246685.11,1.8755
23.50,57.1815,1.1007,0.7982,9.3814,7.3475,500000.00,3673733.49,1.8626
24.00,41.5448,1.5199,0.8676,12.5504,5.1619,500000.00,2580950.91,1.8563
24.50,21.8414,1.9564,0.8656,14.3870,2.0482,500000.00,1024080.96,1.8583
25.00,0.0000,2.3721,0.7838,14.4837,-1.7460,-500000.00,873020.31,1.8697
25.50,-21.8414,2.7267,0.6217,13.1967,-3.4593,-500000.00,1729673.69,1.8899
26.00,-41.5448,2.9816,0.3867,10.9866,-5.3951,-500000.00,2697533.72,1.9163
26.50,-57.1815,3.1037,0.0937,7.8127,-7.2622,-500000.00,3631124.43,1.9448
27.00,-67.2209,3.0691,-0.2361,3.7899,-8.7377,-500000.00,4368861.25,1.9710
27.50,-70.6802,2.8657,-0.5773,-0.8075,-9.5130,-500000.00,4756518.86,1.9905
28.00,-67.2209,2.4945,-0.9024,-5.5641,-9.3415,-500000.00,4670733.25,2.0005
28.50,-57.1815,1.9705,-1.1846,-9.9655,-8.0788,-500000.00,4039398.27,2.0000
29.00,-41.5448,1.3212,-1.3998,-13.4571,-5.7123,-500000.00,2856169.83,1.9904
29.50,-21.8414,0.5849,-1.5296,-15.5141,-2.3740,-500000.00,1186989.74,1.9752
30.00,-0.0000,-0.1922,-1.5625,-15.7129,1.6650,500000.00,832497.66,1.9591
30.50,21.8414,-0.9607,-1.4951,-14.4056,3.6189,500000.00,1809437.81,1.9470
31.00,41.5448,-1.6714,-1.3326,-12.0608,5.7682,500000.00,2884103.99,1.9430
31.50,57.1815,-2.2796,-1.0882,-8.6562,7.8030,500000.00,3901480.98,1.9487
32.00,67.2209,-2.7493,-0.7820,-4.3334,9.3862,500000.00,4693107.79,1.9635
32.50,70.6802,-3.0555,-0.4389,0.6012,10.2021,500000.00,5101072.15,1.9845
33.00,67.2209,-3.1867,-0.0867,5.6983,10.0034,500000.00,5001709.03,2.0077
33.50,57.1815,-3.1453,0.2470,10.4107,8.6517,500000.00,4325860.86,2.0291
34.00,41.5448,-2.9470,0.5370,14.1558,6.1459,500000.00,3072941.67,2.0453
34.50,21.8414,-2.6191,0.7626,16.3871,2.6335,500000.00,1316774.32,2.0547
35.00,0.0000,-2.1975,0.9098,16.6684,-1.5957,-500000.00,797848.86,2.0567
35.50,-21.8414,-1.7234,0.9725,15.3483,-3.7372,-500000.00,1868593.47,2.0525
36.00,-41.5448,-1.2389,0.9524,12.9014,-6.0537,-500000.00,3026842.35,2.0435
36.50,-57.1815,-0.7832,0.8592,9.3194,-8.2202,-500000.00,4110099.20,2.0317
37.00,-67.2209,-0.3892,0.7091,4.7645,-9.8890,-500000.00,4944476.83,2.0186
37.50,-70.6802,-0.0801,0.5232,-0.4320,-10.7382,-500000.00,5369109.47,2.0053
38.00,-67.2209,0.1320,0.3252,-5.7943,-10.5200,-500000.00,5260012.68,1.9923
38.50,-57.1815,0.2471,0.1390,-10.7500,-9.1005,-500000.00,4550245.60,1.9797
39.00,-41.5448,0.2766,-0.0137,-14.6940,-6.4873,-500000.00,3243639.84,1.9674
39.50,-21.8414,0.2419,-0.1158,-17.0631,-2.8402,-500000.00,1420107.55,1.9552
40.00,-0.0000,0.1712,-0.1562,-17.4110,1.5369,500000.00,768460.66,1.9432
40.50,21.8414,0.0966,-0.1314,-16.0834,3.8247,500000.00,1912350.12,1.9314
41.00,41.5448,0.0501,-0.0451,-13.5591,6.2720,500000.00,3135999.64,1.9197
41.50,57.1815,0.0599,0.0913,-9.8408,8.5421,500000.00,4271046.86,1.9082
42.00,67.2209,0.1470,0.2608,-5.1064,10.2786,500000.00,5139323.91,1.8970
42.50,70.6802,0.3226,0.4418,0.2935,11.1552,500000.00,5577601.13,1.8863
43.00,67.2209,0.5868,0.6110,5.8625,10.9232,500000.00,5461579.16,1.8765
43.50,57.1815,0.9277,0.7451,11.0083,9.4520,500000.00,4725981.33,1.8684
44.00,41.5448,1.3227,0.8241,15.1084,6.7561,500000.00,3378027.18,1.8632
