t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
0.0,0.000,0.0000,298.1500,298.1500,298.1500,L,69.26,1.0000,1,0.00
1.0,0.000,0.0000,298.1836,298.1836,298.1836,L,69.22,0.9986,1,0.00
2.0,0.000,0.0000,298.2171,298.2170,298.2171,L,69.18,0.9972,1,0.00
3.0,0.000,0.0001,298.2505,298.2504,298.2504,L,69.14,0.9958,1,0.00
4.0,0.000,0.0002,298.2838,298.2836,298.2837,L,69.10,0.9944,1,0.00
5.0,0.000,0.0003,298.3171,298.3167,298.3169,L,69.06,0.9931,1,0.00
6.0,0.000,0.0005,298.3503,298.3498,298.3500,L,69.02,0.9917,1,0.00
7.0,0.000,0.0007,298.3833,298.3827,298.3830,L,68.98,0.9903,1,0.00
8.0,0.000,0.0009,298.4164,298.4155,298.4159,L,68.95,0.9889,1,0.00
9.0,0.000,0.0012,298.4493,298.4481,298.4487,L,68.91,0.9875,1,0.00
10.0,0.000,0.0015,298.4822,298.4807,298.4814,L,68.87,0.9861,1,0.01
11.0,0.000,0.0018,298.5149,298.5132,298.5140,L,68.83,0.9847,1,0.01
12.0,0.000,0.0021,298.5477,298.5455,298.5465,L,68.80,0.9833,1,0.01
13.0,0.000,0.0025,298.5803,298.5778,298.5790,L,68.76,0.9819,1,0.01
14.0,0.000,0.0029,298.6128,298.6099,298.6113,L,68.72,0.9806,1,0.01
15.0,0.000,0.0034,298.6453,298.6419,298.6435,L,68.69,0.9792,1,0.02
16.0,0.000,0.0038,298.6777,298.6739,298.6757,L,68.65,0.9778,1,0.02
17.0,0.000,0.0044,298.7100,298.7057,298.7077,L,68.62,0.9764,1,0.03
18.0,0.000,0.0049,298.7423,298.7374,298.7397,L,68.58,0.9750,1,0.03
19.0,0.000,0.0055,298.7745,298.7690,298.7716,L,68.55,0.9736,1,0.04
20.0,0.000,0.0061,298.8066,298.8005,298.8034,L,68.51,0.9722,1,0.04
21.0,0.000,0.0067,298.8386,298.8319,298.8351,L,68.48,0.9708,1,0.05
22.0,0.000,0.0073,298.8705,298.8632,298.8667,L,68.45,0.9694,1,0.06
23.0,0.000,0.0080,298.9024,298.8944,298.8982,L,68.42,0.9681,1,0.06
24.0,0.000,0.0087,298.9342,298.9255,298.9296,L,68.38,0.9667,1,0.07
25.0,0.000,0.0095,298.9659,298.9565,298.9609,L,68.35,0.9653,1,0.08
26.0,0.000,0.0102,298.9976,298.9873,298.9922,L,68.32,0.9639,1,0.09
27.0,0.000,0.0110,299.0292,299.0181,299.0233,L,68.29,0.9625,1,0.10
28.0,0.000,0.0119,299.0607,299.0488,299.0544,L,68.26,0.9611,1,0.12
29.0,0.000,0.0127,299.0921,299.0794,299.0854,L,68.23,0.9597,1,0.13
30.0,0.000,0.0136,299.1235,299.1099,299.1163,L,68.20,0.9583,1,0.14
31.0,0.000,0.0145,299.1548,299.1402,299.1471,L,68.17,0.9569,1,0.16
32.0,0.000,0.0155,299.1860,299.1705,299.1778,L,68.14,0.9556,1,0.17
33.0,0.000,0.0164,299.2171,299.2007,299.2085,L,68.11,0.9542,1,0.19
