t,v_in,v_ref,v_out,i_L,d,mode,error
0.00000000,10.00000000,15.00000000,0.00000000,0.00000000,0.14587800,1,15.00000000
0.00002000,10.00000000,15.00000000,0.01894026,3.99784145,0.15144816,1,14.98105974
0.00004000,10.00000000,15.00000000,0.07519046,7.98292012,0.15429873,1,14.92480954
0.00006000,10.00000000,15.00000000,0.16817382,11.94279153,0.15774835,1,14.83182618
0.00008000,10.00000000,15.00000000,0.29705162,15.86543441,0.16152413,1,14.70294838
0.00010000,10.00000000,15.00000000,0.46085927,19.73931942,0.16541163,1,14.53914073
0.00012000,10.00000000,15.00000000,0.65854788,23.55342374,0.16922605,1,14.34145212
0.00014000,10.00000000,15.00000000,0.88901994,27.29720925,0.17276888,1,14.11098006
0.00016000,10.00000000,15.00000000,1.15117094,30.96055546,0.17594081,1,13.84882906
0.00018000,10.00000000,15.00000000,1.44389017,34.53371247,0.17864893,1,13.55610983
0.00020000,10.00000000,15.00000000,1.76607670,38.00722921,0.18077200,1,13.23392330
0.00022000,10.00000000,15.00000000,2.11666702,41.37184169,0.18225673,1,12.88333298
0.00024000,10.00000000,15.00000000,2.49461946,44.61841866,0.18300101,1,12.50538054
0.00026000,10.00000000,15.00000000,2.89894354,47.73782138,0.18298965,1,12.10105646
0.00028000,10.00000000,15.00000000,3.32866109,50.72089020,0.18225130,1,11.67133891
0.00030000,10.00000000,15.00000000,3.78277639,53.55845032,0.18155081,1,11.21722361
0.00032000,10.00000000,15.00000000,4.25982279,56.24255202,0.18389115,1,10.74017721
0.00034000,10.00000000,15.00000000,4.75637600,58.77146075,0.18684920,1,10.24362400
0.00036000,10.00000000,15.00000000,5.27036486,61.14131313,0.19014020,1,9.72963514
0.00038000,10.00000000,15.00000000,5.79985878,63.34870401,0.19376174,1,9.20014122
0.00040000,10.00000000,15.00000000,6.34290539,65.39112235,0.19754225,1,8.65709461
0.00042000,10.00000000,15.00000000,6.89766533,67.26648737,0.20141515,1,8.10233467
0.00044000,10.00000000,15.00000000,7.46235421,68.97326812,0.20531044,1,7.53764579
0.00046000,10.00000000,15.00000000,8.03525631,70.51038542,0.20345452,1,6.96474369
0.00048000,10.00000000,15.00000000,8.61914877,71.85741758,0.20021065,1,6.38085123
0.00050000,10.00000000,15.00000000,9.21342186,73.00514142,0.19618916,1,5.78657814
0.00052000,10.00000000,15.00000000,9.81693344,73.94591553,0.19142032,1,5.18306656
0.00054000,10.00000000,15.00000000,10.42845366,74.67199806,0.18586477,1,4.57154634
0.00056000,10.00000000,15.00000000,11.04670801,75.17529128,0.17946773,1,3.95329199
0.00058000,10.00000000,15.00000000,11.67037475,75.44724443,0.17146092,1,3.32962525
0.00060000,10.00000000,15.00000000,12.29864804,75.47530079,0.16308295,1,2.70135196
0.00062000,10.00000000,15.00000000,12.92954495,75.25236426,0.15838822,1,2.07045505
0.00064000,10.00000000,15.00000000,13.55768922,74.79375245,0.15458632,1,1.44231078
0.00066000,10.00000000,15.00000000,14.18013185,74.10348569,0.15113134,1,0.81986815
0.00068000,10.00000000,15.00000000,14.79440397,73.18402878,0.14775806,1,0.20559603
0.00070000,10.00000000,15.00000000,15.39826756,72.03733292,0.14653055,1,-0.39826756
0.00072000,10.00000000,15.00000000,15.98792641,70.67944196,0.14626024,1,-0.98792641
0.00074000,10.00000000,15.00000000,16.56073454,69.12131370,0.14571686,1,-1.56073454
0.00076000,10.00000000,15.00000000,17.11510718,67.36701119,0.14488000,1,-2.11510718
0.00078000,10.00000000,15.00000000,17.64950428,65.42081673,0.14375445,1,-2.64950428
0.00080000,10.00000000,15.00000000,18.16240991,63.28739787,0.14241803,1,-3.16240991
0.00082000,10.00000000,15.00000000,18.65228510,60.97236592,0.14089423,1,-3.65228510
0.00084000,10.00000000,15.00000000,19.11761638,58.48194326,0.13318684,1,-4.11761638
0.00086000,10.00000000,15.00000000,19.56050991,55.77577752,0.12561925,1,-4.56050991
0.00088000,10.00000000,15.00000000,19.97850252,52.86045435,0.11847209,1,-4.97850252
0.00090000,10.00000000,15.00000000,20.36902581,49.74600001,0.11161811,1,-5.36902581
0.00092000,10.00000000,15.00000000,20.72968712,46.44270492,0.10504063,1,-5.72968712
0.00094000,10.00000000,15.00000000,21.05820969,42.96192430,0.09867767,1,-6.05820969
0.00096000,10.00000000,15.00000000,21.35246538,39.31564075,0.09250850,1,-6.35246538
0.00098000,10.00000000,15.00000000,21.61046059,35.51674099,0.08652110,1,-6.61046059
0.00100000,10.00000000,15.00000000,21.83034376,31.57903555,0.08071887,1,-6.83034376
0.00102000,10.00000000,15.00000000,22.01041268,27.51733800,0.07509868,1,-7.01041268
0.00104000,10.00000000,15.00000000,22.14913112,23.34734942,0.06974767,1,-7.14913112
0.00106000,10.00000000,15.00000000,22.24512437,19.08639574,0.06468326,1,-7.24512437
0.00108000,10.00000000,15.00000000,22.29722659,14.75274174,0.06002074,1,-7.29722659
0.00110000,10.00000000,15.00000000,22.30448877,10.36636802,0.05585150,1,-7.30448877
0.00112000,10.00000000,15.00000000,22.26622388,5.94864239,0.05304970,1,-7.26622388
0.00114000,10.00000000,15.00000000,22.18204654,1.52912925,0.05384468,1,-7.18204654
0.00116000,10.00000000,15.00000000,22.05220449,0.00000000,0.05447346,1,-7.05220449
0.00118000,10.00000000,15.00000000,21.90736286,0.00000000,0.05212794,1,-6.90736286
0.00120000,10.00000000,15.00000000,21.76344700,0.00000000,0.04833552,1,-6.76344700
0.00122000,10.00000000,15.00000000,21.62035178,0.00000000,0.04464263,1,-6.62035178
0.00124000,10.00000000,15.00000000,21.47808112,0.00000000,0.04104889,1,-6.47808112
0.00126000,10.00000000,15.00000000,21.33663878,0.00000000,0.03872370,1,-6.33663878
0.00128000,10.00000000,15.00000000,21.19610866,0.00000000,0.03696909,1,-6.19610866
0.00130000,10.00000000,15.00000000,21.05652505,0.00000000,0.03523846,1,-6.05652505
0.00132000,10.00000000,15.00000000,20.91788419,0.00000000,0.03351307,1,-5.91788419
0.00134000,10.00000000,15.00000000,20.78018103,0.00000000,0.03185260,1,-5.78018103
