t,v_in,v_ref,v_out,i_L,d,mode,error
0.00000000,10.00000000,8.00000000,0.00000000,0.00000000,0.04880800,0,8.00000000
0.00002000,10.00000000,8.00000000,0.00108221,0.19508758,0.05120940,0,7.99891779
0.00004000,10.00000000,8.00000000,0.00436931,0.39890972,0.05359702,0,7.99563069
0.00006000,10.00000000,8.00000000,0.00994060,0.61051312,0.05596971,0,7.99005940
0.00008000,10.00000000,8.00000000,0.01786420,0.82891039,0.05832638,0,7.98213580
0.00010000,10.00000000,8.00000000,0.02819674,1.05308480,0.06066596,0,7.97180326
0.00012000,10.00000000,8.00000000,0.04098311,1.28199506,0.06298746,0,7.95901689
0.00014000,10.00000000,8.00000000,0.05625634,1.51458031,0.06528995,0,7.94374366
0.00016000,10.00000000,8.00000000,0.07403742,1.74976513,0.06757253,0,7.92596258
0.00018000,10.00000000,8.00000000,0.09433523,1.98646460,0.06983441,0,7.90566477
0.00020000,10.00000000,8.00000000,0.11714657,2.22358945,0.07207484,0,7.88285343
0.00022000,10.00000000,8.00000000,0.14245620,2.46005112,0.07429317,0,7.85754380
0.00024000,10.00000000,8.00000000,0.17023691,2.69476692,0.07648880,0,7.82976309
0.00026000,10.00000000,8.00000000,0.20044970,2.92666506,0.07866123,0,7.79955030
0.00028000,10.00000000,8.00000000,0.23304401,3.15468962,0.08081003,0,7.76695599
0.00030000,10.00000000,8.00000000,0.26795796,3.37780550,0.08293488,0,7.73204204
0.00032000,10.00000000,8.00000000,0.30511869,3.59500322,0.08503551,0,7.69488131
0.00034000,10.00000000,8.00000000,0.34444271,3.80530355,0.08711175,0,7.65555729
0.00036000,10.00000000,8.00000000,0.38583633,4.00776203,0.08916353,0,7.61416367
0.00038000,10.00000000,8.00000000,0.42919615,4.20147334,0.09119085,0,7.57080385
0.00040000,10.00000000,8.00000000,0.47440953,4.38557541,0.09319382,0,7.52559047
0.00042000,10.00000000,8.00000000,0.52135517,4.55925336,0.09517261,0,7.47864483
0.00044000,10.00000000,8.00000000,0.56990367,4.72174319,0.09712748,0,7.43009633
0.00046000,10.00000000,8.00000000,0.61991821,4.87233525,0.09905880,0,7.38008179
0.00048000,10.00000000,8.00000000,0.67125516,5.01037740,0.10096700,0,7.32874484
0.00050000,10.00000000,8.00000000,0.72376480,5.13527794,0.10285259,0,7.27623520
0.00052000,10.00000000,8.00000000,0.77729204,5.24650822,0.10471617,0,7.22270796
0.00054000,10.00000000,8.00000000,0.83167714,5.34360495,0.10655840,0,7.16832286
0.00056000,10.00000000,8.00000000,0.88675648,5.42617221,0.10838003,0,7.11324352
0.00058000,10.00000000,8.00000000,0.94236336,5.49388313,0.11018186,0,7.05763664
0.00060000,10.00000000,8.00000000,0.99832876,5.54648125,0.11196476,0,7.00167124
0.00062000,10.00000000,8.00000000,1.05448213,5.58378153,0.11372967,0,6.94551787
0.00064000,10.00000000,8.00000000,1.11065226,5.60567104,0.11547758,0,6.88934774
0.00066000,10.00000000,8.00000000,1.16666800,5.61210932,0.11720952,0,6.83333200
0.00068000,10.00000000,8.00000000,1.22235912,5.60312835,0.11892658,0,6.77764088
0.00070000,10.00000000,8.00000000,1.27755708,5.57883222,0.12062989,0,6.72244292
0.00072000,10.00000000,8.00000000,1.33209583,5.53939650,0.12232060,0,6.66790417
0.00074000,10.00000000,8.00000000,1.38581258,5.48506718,0.12399992,0,6.61418742
0.00076000,10.00000000,8.00000000,1.43854853,5.41615935,0.12566905,0,6.56145147
0.00078000,10.00000000,8.00000000,1.49014967,5.33305557,0.12732922,0,6.50985033
0.00080000,10.00000000,8.00000000,1.54046739,5.23620388,0.12898170,0,6.45953261
0.00082000,10.00000000,8.00000000,1.58935928,5.12611554,0.13062773,0,6.41064072
0.00084000,10.00000000,8.00000000,1.63668968,5.00336246,0.13226857,0,6.36331032
0.00086000,10.00000000,8.00000000,1.68233036,4.86857438,0.13390547,0,6.31766964
0.00088000,10.00000000,8.00000000,1.72616109,4.72243576,0.13553968,0,6.27383891
0.00090000,10.00000000,8.00000000,1.76807015,4.56568244,0.13717242,0,6.23192985
0.00092000,10.00000000,8.00000000,1.80795489,4.39909805,0.13880489,0,6.19204511
0.00094000,10.00000000,8.00000000,1.84572215,4.22351021,0.14043828,0,6.15427785
0.00096000,10.00000000,8.00000000,1.88128868,4.03978657,0.14207373,0,6.11871132
0.00098000,10.00000000,8.00000000,1.91458150,3.84883058,0.14371234,0,6.08541850
0.00100000,10.00000000,8.00000000,1.94553825,3.65157722,0.14535518,0,6.05446175
0.00102000,10.00000000,8.00000000,1.97410739,3.44898853,0.14700328,0,6.02589261
0.00104000,10.00000000,8.00000000,2.00024849,3.24204900,0.14865758,0,5.99975151
0.00106000,10.00000000,8.00000000,2.02393234,3.03176093,0.15031901,0,5.97606766
0.00108000,10.00000000,8.00000000,2.04514106,2.81913965,0.15198841,0,5.95485894
0.00110000,10.00000000,8.00000000,2.06386820,2.60520878,0.15366657,0,5.93613180
0.00112000,10.00000000,8.00000000,2.08011869,2.39099538,0.15535420,0,5.91988131
0.00114000,10.00000000,8.00000000,2.09390881,2.17752511,0.15705195,0,5.90609119
0.00116000,10.00000000,8.00000000,2.10526609,1.96581746,0.15876040,0,5.89473391
0.00118000,10.00000000,8.00000000,2.11422915,1.75688099,0.16048003,0,5.88577085
0.00120000,10.00000000,8.00000000,2.12084748,1.55170859,0.16221127,0,5.87915252
0.00122000,10.00000000,8.00000000,2.12518120,1.35127291,0.16395445,0,5.87481880
0.00124000,10.00000000,8.00000000,2.12730072,1.15652184,0.16570984,0,5.87269928
0.00126000,10.00000000,8.00000000,2.12728642,0.96837412,0.16747761,0,5.87271358
0.00128000,10.00000000,8.00000000,2.12522825,0.78771512,0.16925785,0,5.87477175
0.00130000,10.00000000,8.00000000,2.12122523,0.61539279,0.17105058,0,5.87877477
0.00132000,10.00000000,8.00000000,2.11538503,0.45221374,0.17285573,0,5.88461497
0.00134000,10.00000000,8.00000000,2.10782340,0.29893960,0.17467313,0,5.89217660
0.00136000,10.00000000,8.00000000,2.09866363,0.15628359,0.17650256,0,5.90133637
0.00138000,10.00000000,8.00000000,2.08803594,0.02490723,0.17834370,0,5.91196406
0.00140000,10.00000000,8.00000000,2.07607687,0.00000000,0.18019616,0,5.92392313
0.00142000,10.00000000,8.00000000,2.06397581,0.00000000,0.18205309,0,5.93602419
0.00144000,10.00000000,8.00000000,2.05200976,0.00000000,0.18391284,0,5.94799024
0.00146000,10.00000000,8.00000000,2.04017771,0.00000000,0.18577537,0,5.95982229
0.00148000,10.00000000,8.00000000,2.02847870,0.00000000,0.18764065,0,5.97152130
0.00150000,10.00000000,8.00000000,2.01691176,0.00000000,0.18950865,0,5.98308824
0.00152000,10.00000000,8.00000000,2.00547592,0.00000000,0.19137933,0,5.99452408
0.00154000,10.00000000,8.00000000,1.99417022,0.00000000,0.19325266,0,6.00582978
0.00156000,10.00000000,8.00000000,1.98299371,0.00000000,0.19512860,0,6.01700629
0.00158000,10.00000000,8.00000000,1.97194546,0.00000000,0.19700713,0,6.02805454
0.00160000,10.00000000,8.00000000,1.96102452,0.00143707,0.19888820,0,6.03897548
0.00162000,10.00000000,8.00000000,1.95024587,0.01474271,0.20077169,0,6.04975413
0.00164000,10.00000000,8.00000000,1.93973988,0.03984356,0.20265677,0,6.06026012
0.00166000,10.00000000,8.00000000,1.92963506,0.07661112,0.20454255,0,6.07036494
0.00168000,10.00000000,8.00000000,1.92005749,0.12486246,0.20642817,0,6.07994251
0.00170000,10.00000000,8.00000000,1.91113024,0.18436125,0.20831269,0,6.08886976
0.00172000,10.00000000,8.00000000,1.90297276,0.25481902,0.21019521,0,6.09702724
0.00174000,10.00000000,8.00000000,1.89570039,0.33589660,0.21207479,0,6.10429961
0.00176000,10.00000000,8.00000000,1.88942378,0.42720588,0.21395047,0,6.11057622
0.00178000,10.00000000,8.00000000,1.88424840,0.52831173,0.21582133,0,6.11575160
0.00180000,10.00000000,8.00000000,1.88027409,0.63873418,0.21768642,0,6.11972591
0.00182000,10.00000000,8.00000000,1.87759455,0.75795077,0.21954481,0,6.12240545
0.00184000,10.00000000,8.00000000,1.87629698,0.88539911,0.22139557,0,6.12370302
0.00186000,10.00000000,8.00000000,1.87646162,1.02047964,0.22323780,0,6.12353838
0.00188000,10.00000000,8.00000000,1.87816145,1.16255850,0.22507061,0,6.12183855
0.00190000,10.00000000,8.00000000,1.88146186,1.31097061,0.22689315,0,6.11853814
0.00192000,10.00000000,8.00000000,1.88642032,1.46502289,0.22870458,0,6.11357968
0.00194000,10.00000000,8.00000000,1.89308619,1.62399752,0.23050410,0,6.10691381
