t,v_in,v_ref,v_out,i_L,d,mode,error
0.00000000,10.00000000,15.00000000,0.00000000,0.00000000,1.00000000,1,15.00000000
0.00002000,10.00000000,15.00000000,0.00000000,4.00000000,1.00000000,1,15.00000000
0.00004000,10.00000000,15.00000000,0.00000000,8.00000000,1.00000000,1,15.00000000
0.00006000,10.00000000,15.00000000,0.00000000,12.00000000,1.00000000,1,15.00000000
0.00008000,10.00000000,15.00000000,0.00000000,16.00000000,1.00000000,1,15.00000000
0.00010000,10.00000000,15.00000000,0.00000000,20.00000000,1.00000000,1,15.00000000
0.00012000,10.00000000,15.00000000,0.00000000,24.00000000,1.00000000,1,15.00000000
0.00014000,10.00000000,15.00000000,0.00000000,28.00000000,1.00000000,1,15.00000000
0.00016000,10.00000000,15.00000000,0.00000000,32.00000000,1.00000000,1,15.00000000
0.00018000,10.00000000,15.00000000,0.00000000,36.00000000,1.00000000,1,15.00000000
0.00020000,10.00000000,15.00000000,0.00000000,40.00000000,1.00000000,1,15.00000000
0.00022000,10.00000000,15.00000000,0.00000000,44.00000000,1.00000000,1,15.00000000
0.00024000,10.00000000,15.00000000,0.00000000,48.00000000,1.00000000,1,15.00000000
0.00026000,10.00000000,15.00000000,0.00000000,52.00000000,1.00000000,1,15.00000000
0.00028000,10.00000000,15.00000000,0.00000000,56.00000000,1.00000000,1,15.00000000
0.00030000,10.00000000,15.00000000,0.00000000,60.00000000,1.00000000,1,15.00000000
0.00032000,10.00000000,15.00000000,0.00000000,64.00000000,0.96839233,1,15.00000000
0.00034000,10.00000000,15.00000000,0.02311533,67.99985522,0.81554163,1,14.97688467
0.00036000,10.00000000,15.00000000,0.16605530,71.99292184,0.68198017,1,14.83394470
0.00038000,10.00000000,15.00000000,0.42581843,75.95540944,0.55439153,1,14.57418157
0.00040000,10.00000000,15.00000000,0.80812846,79.84569255,0.42314775,1,14.19187154
0.00042000,10.00000000,15.00000000,1.32607345,83.59987602,0.28049396,1,13.67392655
0.00044000,10.00000000,15.00000000,1.99939510,87.12192257,0.11939827,1,13.00060490
0.00046000,10.00000000,15.00000000,2.85400302,90.26790439,0.00000000,1,12.14599698
0.00048000,10.00000000,15.00000000,3.85350281,92.92720277,0.00000000,1,11.14649719
0.00050000,10.00000000,15.00000000,4.87469715,95.18220863,0.00000000,1,10.12530285
0.00052000,10.00000000,15.00000000,5.91294146,97.02517106,0.00000000,1,9.08705854
0.00054000,10.00000000,15.00000000,6.96354137,98.45020762,0.00000000,1,8.03645863
0.00056000,10.00000000,15.00000000,8.02177377,99.45332009,0.00000000,1,6.97822623
0.00058000,10.00000000,15.00000000,9.08290789,100.03240174,0.00000000,1,5.91709211
0.00060000,10.00000000,15.00000000,10.14222633,100.18723614,0.00000000,1,4.85777367
0.00062000,10.00000000,15.00000000,11.19504585,99.91948770,0.00000000,1,3.80495415
0.00064000,10.00000000,15.00000000,12.23673798,99.23268383,0.00000000,1,2.76326202
0.00066000,10.00000000,15.00000000,13.26274915,98.13218905,0.00000000,1,1.73725085
0.00068000,10.00000000,15.00000000,14.26862053,96.62517098,0.00000000,1,0.73137947
0.00070000,10.00000000,15.00000000,15.25000720,94.72055863,0.00000000,1,-0.25000720
0.00072000,10.00000000,15.00000000,16.20269679,92.42899307,0.00000000,1,-1.20269679
0.00074000,10.00000000,15.00000000,17.12262743,89.76277082,0.00000000,1,-2.12262743
0.00076000,10.00000000,15.00000000,18.00590486,86.73578018,0.00000000,1,-3.00590486
0.00078000,10.00000000,15.00000000,18.84881881,83.36343086,0.00000000,1,-3.84881881
0.00080000,10.00000000,15.00000000,19.64785839,79.66257734,0.00000000,1,-4.64785839
0.00082000,10.00000000,15.00000000,20.39972654,75.65143613,0.00000000,1,-5.39972654
0.00084000,10.00000000,15.00000000,21.10135346,71.34949754,0.00000000,1,-6.10135346
0.00086000,10.00000000,15.00000000,21.74990895,66.77743228,0.00000000,1,-6.74990895
0.00088000,10.00000000,15.00000000,22.34281362,61.95699333,0.00000000,1,-7.34281362
0.00090000,10.00000000,15.00000000,22.87774893,56.91091358,0.00000000,1,-7.87774893
0.00092000,10.00000000,15.00000000,23.35266603,51.66279966,0.00000000,1,-8.35266603
0.00094000,10.00000000,15.00000000,23.76579332,46.23702251,0.00000000,1,-8.76579332
0.00096000,10.00000000,15.00000000,24.11564276,40.65860523,0.00000000,1,-9.11564276
0.00098000,10.00000000,15.00000000,24.40101493,34.95310850,0.00000000,1,-9.40101493
0.00100000,10.00000000,15.00000000,24.62100270,29.14651447,0.00000000,1,-9.62100270
0.00102000,10.00000000,15.00000000,24.77499366,23.26510920,0.00000000,1,-9.77499366
0.00104000,10.00000000,15.00000000,24.86267119,17.33536461,0.00000000,1,-9.86267119
0.00106000,10.00000000,15.00000000,24.88401423,11.38382012,0.00000000,1,-9.88401423
0.00108000,10.00000000,15.00000000,24.83929571,5.43696469,0.00000000,1,-9.83929571
0.00110000,10.00000000,15.00000000,24.72907975,0.00000000,0.00000000,1,-9.72907975
0.00112000,10.00000000,15.00000000,24.55951974,0.00000000,0.00000000,1,-9.55951974
0.00114000,10.00000000,15.00000000,24.39127438,0.00000000,0.00000000,1,-9.39127438
0.00116000,10.00000000,15.00000000,24.22433348,0.00000000,0.00000000,1,-9.22433348
0.00118000,10.00000000,15.00000000,24.05868694,0.00000000,0.04283048,1,-9.05868694
0.00120000,10.00000000,15.00000000,23.89783763,0.00000000,0.19756874,1,-8.89783763
0.00122000,10.00000000,15.00000000,23.74917416,0.00000000,0.31973522,1,-8.74917416
0.00124000,10.00000000,15.00000000,23.60835842,0.00000000,0.41262530,1,-8.60835842
0.00126000,10.00000000,15.00000000,23.47256048,0.00000000,0.48073641,1,-8.47256048
0.00128000,10.00000000,15.00000000,23.34002454,0.00000000,0.52880379,1,-8.34002454
0.00130000,10.00000000,15.00000000,23.20969581,0.00000000,0.56125989,1,-8.20969581
0.00132000,10.00000000,15.00000000,23.08095080,0.00000000,0.58197195,1,-8.08095080
0.00134000,10.00000000,15.00000000,22.95342129,0.15128791,0.59415162,1,-7.95342129
0.00136000,10.00000000,15.00000000,22.82756767,0.43528664,0.60027300,1,-7.82756767
0.00138000,10.00000000,15.00000000,22.70381809,0.79529223,0.60219159,1,-7.70381809
0.00140000,10.00000000,15.00000000,22.58240964,1.19227598,0.60128240,1,-7.58240964
0.00142000,10.00000000,15.00000000,22.46346195,1.60019240,0.59854846,1,-7.46346195
0.00144000,10.00000000,15.00000000,22.34701734,2.00237790,0.59470790,1,-7.34701734
0.00146000,10.00000000,15.00000000,22.23306526,2.38881887,0.59026372,1,-7.23306526
0.00148000,10.00000000,15.00000000,22.12155901,2.75411029,0.58555915,1,-7.12155901
0.00150000,10.00000000,15.00000000,22.01242815,3.09595499,0.58082073,1,-7.01242815
0.00152000,10.00000000,15.00000000,21.90558806,3.41407962,0.57619133,1,-6.90558806
0.00154000,10.00000000,15.00000000,21.80094731,3.70946573,0.57175493,1,-6.80094731
0.00156000,10.00000000,15.00000000,21.69841304,3.98381520,0.56755506,1,-6.69841304
0.00158000,10.00000000,15.00000000,21.59789492,4.23918707,0.56360806,1,-6.59789492
0.00160000,10.00000000,15.00000000,21.49930766,4.47775750,0.55991269,1,-6.49930766
0.00162000,10.00000000,15.00000000,21.40257263,4.70166685,0.55645684,1,-6.40257263
0.00164000,10.00000000,15.00000000,21.30761862,4.91292738,0.55322214,1,-6.30761862
0.00166000,10.00000000,15.00000000,21.21438203,5.11337225,0.55018717,1,-6.21438203
0.00168000,10.00000000,15.00000000,21.12280672,5.30463210,0.54732948,1,-6.12280672
0.00170000,10.00000000,15.00000000,21.03284355,5.48812957,0.54462695,1,-6.03284355
0.00172000,10.00000000,15.00000000,20.94444977,5.66508498,0.54205857,1,-5.94444977
0.00174000,10.00000000,15.00000000,20.85758836,5.83652864,0.53960493,1,-5.85758836
0.00176000,10.00000000,15.00000000,20.77222726,6.00331663,0.53724842,1,-5.77222726
0.00178000,10.00000000,15.00000000,20.68833875,6.16614823,0.53497329,1,-5.68833875
0.00180000,10.00000000,15.00000000,20.60589868,6.32558341,0.53276564,1,-5.60589868
0.00182000,10.00000000,15.00000000,20.52488593,6.48205991,0.53061332,1,-5.52488593
0.00184000,10.00000000,15.00000000,20.44528177,6.63590921,0.52850582,1,-5.44528177
0.00186000,10.00000000,15.00000000,20.36706936,6.78737133,0.52643413,1,-5.36706936
0.00188000,10.00000000,15.00000000,20.29023330,6.93660827,0.52439059,1,-5.29023330
0.00190000,10.00000000,15.00000000,20.21475921,7.08371610,0.52236878,1,-5.21475921
0.00192000,10.00000000,15.00000000,20.14063337,7.22873584,0.52036339,1,-5.14063337
0.00194000,10.00000000,15.00000000,20.06784242,7.37166307,0.51837008,1,-5.06784242
0.00196000,10.00000000,15.00000000,19.99637309,7.51245654,0.51638538,1,-4.99637309
0.00198000,10.00000000,15.00000000,19.92621197,7.65104567,0.51440661,1,-4.92621197
0.00200000,10.00000000,15.00000000,19.85734535,7.78733726,0.51243175,1,-4.85734535
0.00202000,10.00000000,15.00000000,19.78975904,7.92122132,0.51045941,1,-4.78975904
0.00204000,10.00000000,15.00000000,19.72343823,8.05257621,0.50848870,1,-4.72343823
0.00206000,10.00000000,15.00000000,19.65836744,8.18127313,0.50651920,1,-4.65836744
0.00208000,10.00000000,15.00000000,19.59453042,8.30718004,0.50455090,1,-4.59453042
0.00210000,10.00000000,15.00000000,19.53191011,8.43016502,0.50258413,1,-4.53191011
0.00212000,10.00000000,15.00000000,19.47048857,8.55009926,0.50061952,1,-4.47048857
