t,v_in,v_ref,v_out,i_L,d,mode,error
0.00000000,10.00000000,8.00000000,0.00000000,0.00000000,0.05106329,0,8.00000000
0.00002000,10.00000000,8.00000000,0.00113222,0.20410207,0.03387682,0,7.99886778
0.00004000,10.00000000,8.00000000,0.00413443,0.33860526,0.03620743,0,7.99586557
0.00006000,10.00000000,8.00000000,0.00865427,0.48092908,0.03855047,0,7.99134573
0.00008000,10.00000000,8.00000000,0.01476683,0.63050097,0.04088821,0,7.98523317
0.00010000,10.00000000,8.00000000,0.02253992,0.78664885,0.04322042,0,7.97746008
0.00012000,10.00000000,8.00000000,0.03203333,0.94867411,0.04554683,0,7.96796667
0.00014000,10.00000000,8.00000000,0.04329869,1.11585485,0.04786720,0,7.95670131
0.00016000,10.00000000,8.00000000,0.05637918,1.28744920,0.05018126,0,7.94362082
0.00018000,10.00000000,8.00000000,0.07130948,1.46269864,0.05248875,0,7.92869052
0.00020000,10.00000000,8.00000000,0.08811556,1.64083147,0.05478939,0,7.91188444
0.00022000,10.00000000,8.00000000,0.10681466,1.82106625,0.05708291,0,7.89318534
0.00024000,10.00000000,8.00000000,0.12741520,2.00261531,0.05936903,0,7.87258480
0.00026000,10.00000000,8.00000000,0.14991684,2.18468827,0.06164749,0,7.85008316
0.00028000,10.00000000,8.00000000,0.17431047,2.36649558,0.06391803,0,7.82568953
0.00030000,10.00000000,8.00000000,0.20057830,2.54725201,0.06618165,0,7.79942170
0.00032000,10.00000000,8.00000000,0.22869400,2.72618520,0.06843977,0,7.77130600
0.00034000,10.00000000,8.00000000,0.25862295,2.90254066,0.07068948,0,7.74137705
0.00036000,10.00000000,8.00000000,0.29032236,3.07556770,0.07293053,0,7.70967764
0.00038000,10.00000000,8.00000000,0.32374146,3.24453342,0.07516271,0,7.67625854
0.00040000,10.00000000,8.00000000,0.35882174,3.40872591,0.07738582,0,7.64117826
0.00042000,10.00000000,8.00000000,0.39549729,3.56745737,0.07959967,0,7.60450271
0.00044000,10.00000000,8.00000000,0.43369505,3.72006701,0.08180410,0,7.56630495
0.00046000,10.00000000,8.00000000,0.47333524,3.86592400,0.08399895,0,7.52666476
0.00048000,10.00000000,8.00000000,0.51433170,4.00443010,0.08618749,0,7.48566830
0.00050000,10.00000000,8.00000000,0.55659237,4.13503579,0.08837095,0,7.44340763
0.00052000,10.00000000,8.00000000,0.60001988,4.25723436,0.09054455,0,7.39998012
0.00054000,10.00000000,8.00000000,0.64451186,4.37053993,0.09270820,0,7.35548814
0.00056000,10.00000000,8.00000000,0.68996140,4.47450816,0.09486183,0,7.31003860
0.00058000,10.00000000,8.00000000,0.73625744,4.56873804,0.09700541,0,7.26374256
0.00060000,10.00000000,8.00000000,0.78328538,4.65287355,0.09913845,0,7.21671462
0.00062000,10.00000000,8.00000000,0.83092756,4.72660323,0.10126084,0,7.16907244
0.00064000,10.00000000,8.00000000,0.87906375,4.78966276,0.10328140,0,7.12093625
0.00066000,10.00000000,8.00000000,0.92756973,4.84147186,0.10515301,0,7.07243027
0.00068000,10.00000000,8.00000000,0.97631476,4.88131273,0.10701140,0,7.02368524
0.00070000,10.00000000,8.00000000,1.02516418,4.90906376,0.10885732,0,6.97483582
0.00072000,10.00000000,8.00000000,1.07398304,4.92466033,0.11069116,0,6.92601696
0.00074000,10.00000000,8.00000000,1.12263674,4.92809327,0.11251289,0,6.87736326
0.00076000,10.00000000,8.00000000,1.17099162,4.91940697,0.11432987,0,6.82900838
0.00078000,10.00000000,8.00000000,1.21891570,4.89872847,0.11613836,0,6.78108430
0.00080000,10.00000000,8.00000000,1.26627935,4.86622208,0.11793801,0,6.73372065
0.00082000,10.00000000,8.00000000,1.31295577,4.82210213,0.11972962,0,6.68704423
0.00084000,10.00000000,8.00000000,1.35882151,4.76663611,0.12151394,0,6.64117849
0.00086000,10.00000000,8.00000000,1.40375708,4.70014323,0.12329175,0,6.59624292
0.00088000,10.00000000,8.00000000,1.44764745,4.62299263,0.12506297,0,6.55235255
0.00090000,10.00000000,8.00000000,1.49038258,4.53559823,0.12683417,0,6.50961742
0.00092000,10.00000000,8.00000000,1.53185800,4.43844315,0.12860088,0,6.46814200
0.00094000,10.00000000,8.00000000,1.57197531,4.33203317,0.13036381,0,6.42802469
0.00096000,10.00000000,8.00000000,1.61064249,4.21691509,0.13212367,0,6.38935751
0.00098000,10.00000000,8.00000000,1.64777429,4.09367391,0.13388113,0,6.35222571
0.00100000,10.00000000,8.00000000,1.68329262,3.96293007,0.13563685,0,6.31670738
0.00102000,10.00000000,8.00000000,1.71712689,3.82533636,0.13739146,0,6.28287311
0.00104000,10.00000000,8.00000000,1.74921429,3.68157480,0.13914683,0,6.25078571
0.00106000,10.00000000,8.00000000,1.77950008,3.53235839,0.14090535,0,6.22049992
0.00108000,10.00000000,8.00000000,1.80793790,3.37842994,0.14266427,0,6.19206210
0.00110000,10.00000000,8.00000000,1.83448993,3.22053809,0.14442412,0,6.16551007
0.00112000,10.00000000,8.00000000,1.85912692,3.05944701,0.14618476,0,6.14087308
0.00114000,10.00000000,8.00000000,1.88182832,2.89593027,0.14794729,0,6.11817168
0.00116000,10.00000000,8.00000000,1.90258230,2.73077233,0.14971228,0,6.09741770
0.00118000,10.00000000,8.00000000,1.92138587,2.56476287,0.15148013,0,6.07861413
0.00120000,10.00000000,8.00000000,1.93824477,2.39869267,0.15325124,0,6.06175523
0.00122000,10.00000000,8.00000000,1.95317348,2.23335000,0.15502594,0,6.04682652
0.00124000,10.00000000,8.00000000,1.96619511,2.06951698,0.15680456,0,6.03380489
0.00126000,10.00000000,8.00000000,1.97734124,1.90796609,0.15858738,0,6.02265876
0.00128000,10.00000000,8.00000000,1.98665177,1.74945659,0.16037463,0,6.01334823
0.00130000,10.00000000,8.00000000,1.99417471,1.59473114,0.16216654,0,6.00582529
0.00132000,10.00000000,8.00000000,1.99996592,1.44451248,0.16396326,0,6.00003408
0.00134000,10.00000000,8.00000000,2.00408883,1.29950012,0.16576494,0,5.99591117
0.00136000,10.00000000,8.00000000,2.00661413,1.16036730,0.16757204,0,5.99338587
0.00138000,10.00000000,8.00000000,2.00761943,1.02775948,0.16938432,0,5.99238057
0.00140000,10.00000000,8.00000000,2.00718887,0.90228871,0.17119975,0,5.99281113
0.00142000,10.00000000,8.00000000,2.00541268,0.78452413,0.17301638,0,5.99458732
0.00144000,10.00000000,8.00000000,2.00238664,0.67498978,0.17483857,0,5.99761336
0.00146000,10.00000000,8.00000000,1.99821169,0.57418786,0.17666649,0,6.00178831
0.00148000,10.00000000,8.00000000,1.99299355,0.48257981,0.17849963,0,6.00700645
0.00150000,10.00000000,8.00000000,1.98684222,0.40058195,0.18033784,0,6.01315778
0.00152000,10.00000000,8.00000000,1.97987146,0.32856519,0.18218089,0,6.02012854
0.00154000,10.00000000,8.00000000,1.97219823,0.26685339,0.18402854,0,6.02780177
0.00156000,10.00000000,8.00000000,1.96394218,0.21572209,0.18588049,0,6.03605782
0.00158000,10.00000000,8.00000000,1.95522508,0.17539729,0.18773639,0,6.04477492
0.00160000,10.00000000,8.00000000,1.94617023,0.14605462,0.18959586,0,6.05382977
0.00162000,10.00000000,8.00000000,1.93690194,0.12781860,0.19145805,0,6.06309806
0.00164000,10.00000000,8.00000000,1.92754488,0.12076057,0.19332282,0,6.07245512
0.00166000,10.00000000,8.00000000,1.91822357,0.12490141,0.19518973,0,6.08177643
0.00168000,10.00000000,8.00000000,1.90906178,0.14021063,0.19705827,0,6.09093822
0.00170000,10.00000000,8.00000000,1.90018196,0.16660639,0.19892788,0,6.09981804
0.00172000,10.00000000,8.00000000,1.89170469,0.20395599,0.20079798,0,6.10829531
0.00174000,10.00000000,8.00000000,1.88374816,0.25207662,0.20266795,0,6.11625184
0.00176000,10.00000000,8.00000000,1.87642758,0.31073633,0.20453715,0,6.12357242
0.00178000,10.00000000,8.00000000,1.86985469,0.37965523,0.20640495,0,6.13014531
0.00180000,10.00000000,8.00000000,1.86413724,0.45850688,0.20827065,0,6.13586276
0.00182000,10.00000000,8.00000000,1.85937855,0.54691992,0.21013357,0,6.14062145
0.00184000,10.00000000,8.00000000,1.85567698,0.64447991,0.21199303,0,6.14432302
0.00186000,10.00000000,8.00000000,1.85312554,0.75073132,0.21384831,0,6.14687446
0.00188000,10.00000000,8.00000000,1.85181143,0.86517978,0.21569871,0,6.14818857
0.00190000,10.00000000,8.00000000,1.85181573,0.98729441,0.21754353,0,6.14818427
0.00192000,10.00000000,8.00000000,1.85321297,1.11651037,0.21937849,0,6.14678703
0.00194000,10.00000000,8.00000000,1.85607075,1.25221731,0.22120629,0,6.14392925
0.00196000,10.00000000,8.00000000,1.86044946,1.39379002,0.22302625,0,6.13955054
0.00198000,10.00000000,8.00000000,1.86640208,1.54057794,0.22483771,0,6.13359792
0.00200000,10.00000000,8.00000000,1.87397397,1.69190821,0.22664006,0,6.12602603
0.00202000,10.00000000,8.00000000,1.88320265,1.84708885,0.22843267,0,6.11679735
0.00204000,10.00000000,8.00000000,1.89411771,2.00541204,0.23021496,0,6.10588229
0.00206000,10.00000000,8.00000000,1.90674062,2.16615740,0.23198640,0,6.09325938
0.00208000,10.00000000,8.00000000,1.92108473,2.32859540,0.23374593,0,6.07891527
0.00210000,10.00000000,8.00000000,1.93715517,2.49198867,0.23549246,0,6.06284483
0.00212000,10.00000000,8.00000000,1.95494884,2.65559501,0.23722657,0,6.04505116
0.00214000,10.00000000,8.00000000,1.97445446,2.81867740,0.23894786,0,6.02554554
0.00216000,10.00000000,8.00000000,1.99565269,2.98050341,0.24065599,0,6.00434731
0.00218000,10.00000000,8.00000000,2.01851618,3.14034855,0.24235066,0,5.98148382
