t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,0.000000,-0.000000,300.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,24.999204,20.001381,0.000031,-0.001381,300.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000000,0.000000,24.998410,20.002760,0.000123,-0.002898,300.000000,0.000000,0.000000,0.000000
0.003000,0.000003,0.000000,0.000000,24.997617,20.004133,0.000276,-0.004547,300.000000,0.000003,0.000000,0.000000
0.004000,0.000005,0.000000,0.000000,24.996827,20.005495,0.000490,-0.006322,300.000000,0.000011,0.000001,0.000000
0.005000,0.000008,0.000000,0.000000,24.996041,20.006836,0.000765,-0.008213,300.000000,0.000029,0.000003,0.000000
0.006000,0.000011,0.000000,0.000000,24.995260,20.008143,0.001100,-0.010203,300.000000,0.000062,0.000008,0.000000
0.007000,0.000015,0.000000,0.000000,24.994488,20.009401,0.001496,-0.012275,300.000000,0.000117,0.000017,0.000000
0.008000,0.000020,0.000000,0.000000,24.993727,20.010593,0.001952,-0.014407,300.000000,0.000201,0.000034,0.000000
0.009000,0.000025,0.000000,0.000000,24.992983,20.011698,0.002468,-0.016572,300.000000,0.000323,0.000061,0.000000
0.010000,0.000031,0.000000,0.000000,24.992262,20.012695,0.003043,-0.018739,300.000000,0.000491,0.000104,0.000000
0.011000,0.000037,0.000000,0.000000,24.991572,20.013560,0.003678,-0.020873,300.000000,0.000713,0.000166,0.000000
0.012000,0.000044,0.000000,0.000000,24.990920,20.014268,0.004372,-0.022937,300.000000,0.001000,0.000255,0.000000
0.013000,0.000052,0.000000,0.000000,24.990317,20.014793,0.005125,-0.024889,300.000000,0.001359,0.000377,0.000000
0.014000,0.000060,0.000000,0.000000,24.989774,20.015110,0.005937,-0.026685,300.000000,0.001802,0.000540,0.000000
0.015000,0.000069,0.000000,0.000000,24.989304,20.015192,0.006808,-0.028278,300.000000,0.002336,0.000752,0.000000
0.016000,0.000079,0.000000,0.000000,24.988921,20.015014,0.007737,-0.029619,300.000000,0.002972,0.001025,0.000000
0.017000,0.000089,0.000000,0.000000,24.988641,20.014552,0.008725,-0.030658,300.000000,0.003719,0.001368,0.000001
0.018000,0.000100,0.000000,0.000000,24.988480,20.013784,0.009771,-0.031346,300.000000,0.004585,0.001793,0.000001
0.019000,0.000111,0.000000,0.000000,24.988457,20.012690,0.010875,-0.031631,300.000000,0.005580,0.002313,0.000001
0.020000,0.000123,0.000000,0.000000,24.988590,20.011256,0.012036,-0.031465,300.000000,0.006712,0.002940,0.000001
0.021000,0.000136,0.000000,0.000000,24.988900,20.009468,0.013256,-0.030803,300.000000,0.007989,0.003690,0.000001
0.022000,0.000149,0.000000,0.000000,24.989409,20.007319,0.014532,-0.029601,300.000000,0.009419,0.004577,0.000001
0.023000,0.000163,0.000000,0.000000,24.990140,20.004807,0.015866,-0.027821,300.000000,0.011010,0.005617,0.000001
0.024000,0.000178,0.000000,0.000000,24.991116,20.001937,0.017257,-0.025431,300.000000,0.012769,0.006827,0.000002
0.025000,0.000193,0.000000,0.000000,24.992362,19.998718,0.018705,-0.022406,300.000000,0.014702,0.008223,0.000002
0.026000,0.000208,0.000000,0.000000,24.993905,19.995170,0.020210,-0.018729,300.000000,0.016815,0.009824,0.000002
0.027000,0.000225,0.000000,0.000000,24.995770,19.991317,0.021771,-0.014393,300.000000,0.019116,0.011648,0.000002
0.028000,0.000242,0.000000,0.000000,24.997987,19.987193,0.023388,-0.009401,300.000000,0.021609,0.013714,0.000002
0.029000,0.000259,0.000000,0.000000,25.000581,19.982841,0.025062,-0.003769,300.000000,0.024299,0.016041,0.000003
0.030000,0.000278,0.000000,0.000000,25.003584,19.978312,0.026792,-0.000000,300.000000,0.027191,0.018650,0.000003
0.031000,0.000296,0.000000,0.000000,25.007025,19.973665,0.028578,-0.000000,300.000000,0.030289,0.021561,0.000003
0.032000,0.000316,0.000000,0.000000,25.010933,19.968961,0.030420,-0.000000,300.000000,0.033598,0.024795,0.000004
0.033000,0.000336,0.000000,0.000000,25.015341,19.964255,0.032317,-0.000000,300.000000,0.037120,0.028374,0.000004
0.034000,0.000356,0.000000,0.000000,25.020279,19.959597,0.034269,-0.000000,300.000000,0.040859,0.032318,0.000004
0.035000,0.000378,0.000000,0.000000,25.025779,19.955030,0.036277,-0.000000,300.000000,0.044818,0.036649,0.000005
0.036000,0.000400,0.000000,0.000000,25.031875,19.950592,0.038340,-0.000000,300.000000,0.048999,0.041391,0.000005
0.037000,0.000422,0.000000,0.000000,25.038597,19.946315,0.040458,-0.000000,300.000000,0.053404,0.046564,0.000005
0.038000,0.000445,0.000000,0.000000,25.045980,19.942226,0.042631,-0.000000,300.000000,0.058035,0.052192,0.000006
0.039000,0.000469,0.000000,0.000000,25.054056,19.938348,0.044859,-0.000000,300.000000,0.062894,0.058298,0.000006
0.040000,0.000493,0.000000,0.000000,25.062859,19.934700,0.047141,-0.000000,300.000000,0.067981,0.064903,0.000007
0.041000,0.000518,0.000000,0.000000,25.072421,19.931297,0.049477,-0.000000,300.000000,0.073298,0.072032,0.000007
0.042000,0.000544,0.000000,0.000000,25.082778,19.928149,0.051868,-0.000000,300.000000,0.078845,0.079706,0.000008
0.043000,0.000570,0.000000,0.000000,25.093962,19.925264,0.054313,-0.000000,300.000000,0.084623,0.087950,0.000008
