t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,-0.000000,-0.000000,-800.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.050009,0.017797,24.959461,20.025812,-4.959461,0.370494,-800.000000,0.000000,0.000000,0.000000
0.002000,0.050000,0.050036,0.035267,24.841233,20.097735,-5.337180,0.742530,-800.000000,0.004247,0.000201,0.000000
0.003000,0.050000,0.050079,0.052537,24.632077,20.216516,-5.612146,1.118607,-800.000000,0.020521,0.001521,0.000000
0.004000,0.050000,0.050141,0.069481,24.317390,20.383733,-5.760667,1.496002,-800.000000,0.055579,0.005594,0.000000
0.005000,0.050000,0.050218,0.085956,23.884760,20.601552,-5.759776,1.871638,-800.000000,0.115170,0.014664,0.000000
0.006000,0.050000,0.050312,0.101812,23.324638,20.872537,-5.588131,2.242123,-800.000000,0.203991,0.031489,0.000001
0.007000,0.050000,0.050422,0.116887,22.631000,21.199459,-5.226956,2.603800,-800.000000,0.325647,0.059224,0.000001
0.008000,0.050000,0.050546,0.131013,21.801940,21.585115,-4.660996,2.952829,-800.000000,0.482615,0.101316,0.000002
0.009000,0.050000,0.050683,0.144023,20.840153,22.032150,-3.879403,3.285264,-800.000000,0.676222,0.161389,0.000002
0.010000,0.050000,0.050833,0.155752,19.753235,22.542884,-2.876500,3.597162,-800.000000,0.906632,0.243127,0.000003
0.011000,0.050000,0.050994,0.166045,18.553763,23.119163,-1.652352,3.884685,-800.000000,1.172856,0.350156,0.000004
0.012000,0.050000,0.051165,0.174760,17.259118,23.762213,-0.213083,4.144212,-800.000000,1.472775,0.485934,0.000005
0.013000,0.050000,0.051343,0.181775,15.891013,24.472520,-0.000000,4.372449,-800.000000,1.803195,0.653639,0.000007
0.014000,0.050000,0.051528,0.186991,14.474102,25.249734,-0.000000,4.566523,-800.000000,2.159929,0.856067,0.000008
0.015000,0.050000,0.051717,0.190331,13.032640,26.092589,-0.000000,4.724031,-800.000000,2.537900,1.095539,0.000010
0.016000,0.050000,0.051908,0.191747,11.589169,26.998843,-0.000000,4.843035,-800.000000,2.931280,1.373819,0.000012
0.017000,0.050000,0.052099,0.191209,10.164323,27.965234,-0.000000,4.922050,-800.000000,3.333644,1.692050,0.000014
0.018000,0.050000,0.052290,0.188712,8.776792,28.987468,-0.000000,4.960023,-800.000000,3.738156,2.050707,0.000016
0.019000,0.050000,0.052476,0.184269,7.443338,30.060217,-0.000000,4.956320,-800.000000,4.137758,2.449563,0.000019
0.020000,0.050000,0.052657,0.177914,6.178840,31.177159,-0.000000,4.910706,-800.000000,4.525372,2.887685,0.000021
0.021000,0.050000,0.052831,0.169695,4.996384,32.331031,-0.000000,4.823327,-800.000000,4.894114,3.363442,0.000024
0.022000,0.050000,0.052996,0.159680,3.907377,33.513723,-0.000000,4.694694,-800.000000,5.237489,3.874536,0.000027
0.023000,0.050000,0.053150,0.147951,2.921700,34.716386,-0.000000,4.525665,-800.000000,5.549583,4.418056,0.000030
0.024000,0.050000,0.053292,0.134604,2.047931,35.929578,-0.000000,4.317433,-800.000000,5.825241,4.990545,0.000034
0.025000,0.050000,0.053419,0.119747,1.293705,37.143421,-0.000000,4.071514,-800.000000,6.060210,5.588086,0.000037
0.026000,0.050000,0.053531,0.103504,0.666493,38.347781,-0.000000,3.789741,-800.000000,6.251261,6.206401,0.000041
0.027000,0.050000,0.053626,0.086010,0.176365,39.532465,-0.000000,3.474294,-800.000000,6.396266,6.840955,0.000044
0.028000,0.050000,0.053702,0.067448,0.000000,40.687461,-0.000000,3.128377,-800.000000,6.494230,7.487072,0.000048
0.029000,0.050000,0.053760,0.048167,0.000000,41.803496,-0.000000,2.758743,-800.000000,6.545224,8.140046,0.000052
0.030000,0.050000,0.053798,0.028246,0.000000,42.871870,-0.000000,2.366755,-800.000000,6.550409,8.795243,0.000056
0.031000,0.050000,0.053816,0.007715,0.000000,43.884214,-0.000000,1.952681,-800.000000,6.512024,9.448214,0.000059
0.032000,0.050000,0.053814,-0.011251,0.023183,44.834453,-0.000000,1.561357,-800.000000,6.432825,10.094778,0.000063
0.033000,0.050000,0.053794,-0.029379,0.102815,45.721781,-0.000000,1.178732,-800.000000,6.315469,10.731007,0.000067
0.034000,0.050000,0.053755,-0.047912,0.242328,46.540409,-0.000000,0.779166,-800.000000,6.164579,11.353365,0.000071
0.035000,0.050000,0.053698,-0.066745,0.445822,47.284796,-0.000000,0.364640,-800.000000,5.985169,11.958813,0.000074
0.036000,0.050000,0.053622,-0.085766,0.716654,47.950430,0.062678,-10.000000,-800.000000,5.782052,12.544802,0.000078
0.037000,0.050000,0.053527,-0.104861,1.057620,48.530712,0.500449,-10.000000,-800.000000,5.499313,13.106376,0.000082
0.038000,0.050000,0.053412,-0.123901,1.471038,49.009143,0.946089,-10.000000,-800.000000,5.100703,13.632174,0.000085
