t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,3.397900e-01,7.000000e-03,2.000000e-02,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.490000e-04
1.000000e+00,9.720010e+01,5.075141e+01,-1.061043e-01,2.844900e-01,6.208200e-01,3.390440e-01,7.000000e-03,-2.000000e-02,-7.460335e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.999898e+00,2.748592e+00,-1.086457e-02,3.999898e+00,5.748592e+00,1.086457e-02,7.999592e+00,1.655476e+01,1.180388e-04,8.985566e-04
2.000000e+00,9.721282e+01,5.072622e+01,-1.134916e-01,2.914900e-01,6.408200e-01,3.396801e-01,7.000000e-03,2.000000e-02,6.361249e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.987184e+00,2.773785e+00,-3.477252e-03,5.987081e+00,8.522377e+00,1.434182e-02,1.194849e+01,2.424864e+01,1.301301e-04,1.347961e-03
3.000000e+00,9.722551e+01,5.095579e+01,-1.025764e-01,2.984900e-01,6.608200e-01,3.388469e-01,7.000000e-03,2.000000e-02,-8.331911e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.974494e+00,2.544212e+00,-1.439242e-02,7.961576e+00,1.106659e+01,2.873424e-02,1.584712e+01,3.072166e+01,3.372718e-04,1.797655e-03
4.000000e+00,9.723839e+01,5.141472e+01,-9.177714e-02,3.054900e-01,6.408200e-01,3.382152e-01,7.000000e-03,-2.000000e-02,-6.317359e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.961612e+00,2.085279e+00,-2.519173e-02,9.923188e+00,1.315187e+01,5.392597e-02,1.969504e+01,3.507005e+01,9.718949e-04,2.247055e-03
5.000000e+00,9.726384e+01,5.157701e+01,-9.924857e-02,3.124900e-01,6.608200e-01,3.388505e-01,7.000000e-03,2.000000e-02,6.353364e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.936162e+00,1.922988e+00,-1.772030e-02,1.185935e+01,1.507486e+01,7.164626e-02,2.344376e+01,3.876793e+01,1.285904e-03,2.696458e-03
6.000000e+00,9.728923e+01,5.197629e+01,-8.840680e-02,3.194900e-01,6.808200e-01,3.379972e-01,7.000000e-03,2.000000e-02,-8.533422e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.910771e+00,1.523714e+00,-2.856207e-02,1.377012e+01,1.659857e+01,1.002083e-01,2.709481e+01,4.108964e+01,2.101696e-03,3.146186e-03
7.000000e+00,9.731478e+01,5.258899e+01,-7.767893e-02,3.264900e-01,6.608200e-01,3.373412e-01,7.000000e-03,-2.000000e-02,-6.560002e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.885219e+00,9.110107e-01,-3.928994e-02,1.565534e+01,1.750958e+01,1.394983e-01,3.064885e+01,4.191958e+01,3.645395e-03,3.595617e-03
8.000000e+00,9.735288e+01,5.289034e+01,-8.523564e-02,3.334900e-01,6.808200e-01,3.379531e-01,7.000000e-03,2.000000e-02,6.119330e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.847122e+00,6.096597e-01,-3.173322e-02,1.750246e+01,1.811924e+01,1.712315e-01,3.406071e+01,4.229126e+01,4.652392e-03,4.044991e-03
9.000000e+00,9.739088e+01,5.341591e+01,-7.446308e-02,3.404900e-01,6.900655e-01,3.370752e-01,7.000000e-03,9.245532e-03,-8.779332e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.809119e+00,8.408506e-02,-4.250579e-02,1.931158e+01,1.820333e+01,2.137373e-01,3.733362e+01,4.229833e+01,6.459134e-03,4.180242e-03
