t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,3.397900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,9.720010e+01,5.075141e+01,-1.061043e-01,2.844900e-01,6.608200e-01,3.398788e-01,7.000000e-03,2.000000e-02,8.877289e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.999898e+00,1.974859e+01,-1.086457e-02,1.999990e+01,3.974859e+01,1.086457e-02,1.999980e+02,7.900069e+02,1.180388e-04,8.980079e-04
2.000000e+00,9.720029e+01,5.122915e+01,-9.537184e-02,2.914900e-01,6.808200e-01,3.400390e-01,7.000000e-03,2.000000e-02,1.602239e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.999710e+00,1.927085e+01,-2.159702e-02,2.999961e+01,5.901945e+01,3.246159e-02,2.999922e+02,1.161373e+03,5.844702e-04,1.347034e-03
3.000000e+00,9.720055e+01,5.191059e+01,-8.477064e-02,2.984900e-01,7.008200e-01,3.402545e-01,7.000000e-03,2.000000e-02,2.154591e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.999447e+00,1.858941e+01,-3.219823e-02,3.999905e+01,7.760886e+01,6.465981e-02,3.999811e+02,1.506939e+03,1.621196e-03,1.796080e-03
4.000000e+00,9.720088e+01,5.277537e+01,-7.429998e-02,3.054900e-01,7.208200e-01,3.405102e-01,7.000000e-03,2.000000e-02,2.557837e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.999117e+00,1.772463e+01,-4.266889e-02,4.999817e+01,9.533349e+01,1.073287e-01,4.999634e+02,1.821101e+03,3.441830e-03,2.245145e-03
5.000000e+00,9.720127e+01,5.380516e+01,-6.395927e-02,3.124900e-01,7.408200e-01,3.407929e-01,7.000000e-03,2.000000e-02,2.826396e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.998727e+00,1.669484e+01,-5.300960e-02,5.999690e+01,1.120283e+02,1.603383e-01,5.999380e+02,2.099819e+03,6.251847e-03,2.694225e-03
6.000000e+00,9.720172e+01,5.498348e+01,-5.374805e-02,3.194900e-01,7.608200e-01,3.410904e-01,7.000000e-03,2.000000e-02,2.975510e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.998282e+00,1.551652e+01,-6.322081e-02,6.999518e+01,1.275448e+02,2.235591e-01,6.999036e+02,2.340581e+03,1.024872e-02,3.143314e-03
7.000000e+00,9.720222e+01,5.629546e+01,-4.366597e-02,3.264900e-01,7.808200e-01,3.413925e-01,7.000000e-03,2.000000e-02,3.020756e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.997782e+00,1.420454e+01,-7.330290e-02,7.999296e+01,1.417494e+02,2.968620e-01,7.998593e+02,2.542350e+03,1.562203e-02,3.592405e-03
8.000000e+00,9.720277e+01,5.772776e+01,-3.371275e-02,3.334900e-01,7.841211e-01,3.416903e-01,7.000000e-03,3.301057e-03,2.977633e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.997230e+00,1.277224e+01,-8.325612e-02,8.999019e+01,1.545216e+02,3.801181e-01,8.998039e+02,2.705481e+03,2.255361e-02,3.652391e-03
9.000000e+00,9.720855e+01,5.905838e+01,-3.145105e-02,3.404900e-01,7.846408e-01,3.419146e-01,7.000000e-03,5.197074e-04,2.243270e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.991448e+00,1.144162e+01,-8.551782e-02,9.998164e+01,1.659632e+02,4.656359e-01,9.996329e+02,2.836391e+03,2.986691e-02,3.701711e-03
1.000000e+01,9.722042e+01,6.026294e+01,-3.043926e-02,3.474900e-01,7.848726e-01,3.420617e-01,7.000000e-03,2.317946e-04,1.471429e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.979577e+00,1.023706e+01,-8.652961e-02,1.099612e+02,1.762003e+02,5.521655e-01,1.099225e+03,2.941189e+03,3.735428e-02,3.750787e-03
1.100000e+01,9.723847e+01,6.135095e+01,-2.952591e-02,3.544900e-01,7.850837e-01,3.421398e-01,7.000000e-03,2.110942e-04,7.801267e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.961533e+00,9.149053e+00,-8.744296e-02,1.199228e+02,1.853494e+02,6.396085e-01,1.198457e+03,3.024894e+03,4.500055e-02,3.799837e-03
1.200000e+01,9.726268e+01,6.233429e+01,-2.858850e-02,3.614900e-01,7.853014e-01,3.421580e-01,7.000000e-03,2.177936e-04,1.825973e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.937317e+00,8.165709e+00,-8.838037e-02,1.298601e+02,1.935151e+02,7.279889e-01,1.297207e+03,3.091573e+03,5.281164e-02,3.848885e-03
1.300000e+01,9.729306e+01,6.322403e+01,-2.761528e-02,3.684900e-01,7.855282e-01,3.421259e-01,7.000000e-03,2.267999e-04,-3.212617e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.906939e+00,7.275966e+00,-8.935358e-02,1.397670e+02,2.007910e+02,8.173425e-01,1.395355e+03,3.144512e+03,6.079571e-02,3.897937e-03
1.400000e+01,9.732959e+01,6.403016e+01,-2.660605e-02,3.754900e-01,7.857638e-01,3.420524e-01,7.000000e-03,2.356030e-04,-7.346493e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.870413e+00,6.469839e+00,-9.036281e-02,1.496374e+02,2.072609e+02,9.077053e-01,1.492780e+03,3.186371e+03,6.896114e-02,3.946998e-03
1.500000e+01,9.737225e+01,6.476165e+01,-2.556166e-02,3.824900e-01,7.860078e-01,3.419462e-01,7.000000e-03,2.439913e-04,-1.062441e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.827752e+00,5.738348e+00,-9.140721e-02,1.594652e+02,2.129992e+02,9.991125e-01,1.589364e+03,3.219300e+03,7.731642e-02,3.996069e-03
1.600000e+01,9.742103e+01,6.542659e+01,-2.448297e-02,3.894900e-01,7.862598e-01,3.418151e-01,7.000000e-03,2.519829e-04,-1.310723e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.778971e+00,5.073413e+00,-9.248590e-02,1.692441e+02,2.180726e+02,1.091598e+00,1.684993e+03,3.245039e+03,8.587006e-02,4.045150e-03
1.700000e+01,9.747591e+01,6.603223e+01,-2.337077e-02,3.964900e-01,7.865194e-01,3.416665e-01,7.000000e-03,2.596154e-04,-1.486450e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.724086e+00,4.467771e+00,-9.359810e-02,1.789682e+02,2.225404e+02,1.185196e+00,1.779551e+03,3.265000e+03,9.463067e-02,4.094239e-03
1.800000e+01,9.753688e+01,6.658511e+01,-2.222575e-02,4.034900e-01,7.867864e-01,3.415067e-01,7.000000e-03,2.669247e-04,-1.597143e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.663115e+00,3.914888e+00,-9.474311e-02,1.886313e+02,2.264553e+02,1.279940e+00,1.872926e+03,3.280327e+03,1.036069e-01,4.143336e-03
1.900000e+01,9.760392e+01,6.709111e+01,-2.104853e-02,4.104900e-01,7.870603e-01,3.413417e-01,7.000000e-03,2.739433e-04,-1.650632e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.596075e+00,3.408887e+00,-9.592033e-02,1.982274e+02,2.298642e+02,1.375860e+00,1.965011e+03,3.291947e+03,1.128076e-01,4.192438e-03
2.000000e+01,9.767702e+01,6.755551e+01,-1.983964e-02,4.174900e-01,7.873410e-01,3.411762e-01,7.000000e-03,2.807004e-04,-1.654817e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.522985e+00,2.944487e+00,-9.712922e-02,2.077504e+02,2.328087e+02,1.472989e+00,2.055698e+03,3.300617e+03,1.222417e-01,4.241545e-03
2.100000e+01,9.775614e+01,6.798307e+01,-1.859954e-02,4.104900e-01,7.876282e-01,3.410145e-01,-7.000000e-03,2.872224e-04,-1.617483e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.443864e+00,2.516934e+00,-9.836932e-02,2.171943e+02,2.353256e+02,1.571358e+00,2.144885e+03,3.306952e+03,1.319182e-01,4.290653e-03
2.200000e+01,9.782867e+01,6.837804e+01,-2.094406e-02,4.034900e-01,7.879218e-01,3.408303e-01,-7.000000e-03,2.935330e-04,-1.841542e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.371332e+00,2.121955e+00,-9.602480e-02,2.265656e+02,2.374476e+02,1.667383e+00,2.232707e+03,3.311455e+03,1.411390e-01,4.339773e-03
2.300000e+01,9.789463e+01,6.874325e+01,-2.332701e-02,3.964900e-01,7.882127e-01,3.406313e-01,-7.000000e-03,2.909567e-04,-1.990256e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.305369e+00,1.756752e+00,-9.364186e-02,2.358710e+02,2.392043e+02,1.761025e+00,2.319297e+03,3.314541e+03,1.499078e-01,4.388898e-03
2.400000e+01,9.795405e+01,6.908108e+01,-2.575245e-02,3.894900e-01,7.885000e-01,3.404240e-01,-7.000000e-03,2.873102e-04,-2.072490e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.245955e+00,1.418918e+00,-9.121641e-02,2.451169e+02,2.406232e+02,1.852242e+00,2.404784e+03,3.316554e+03,1.582282e-01,4.438023e-03
2.500000e+01,9.800693e+01,6.939370e+01,-2.822076e-02,3.824900e-01,7.887835e-01,3.402143e-01,-7.000000e-03,2.834575e-04,-2.096936e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.193067e+00,1.106299e+00,-8.874810e-02,2.543100e+02,2.417295e+02,1.940990e+00,2.489297e+03,3.317778e+03,1.661045e-01,4.487147e-03
2.600000e+01,9.805331e+01,6.968304e+01,-3.073185e-02,3.754900e-01,7.890630e-01,3.400071e-01,-7.000000e-03,2.794967e-04,-2.072209e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.146686e+00,8.169579e-01,-8.623701e-02,2.634567e+02,2.425465e+02,2.027227e+00,2.572959e+03,3.318445e+03,1.735413e-01,4.536268e-03
2.700000e+01,9.809321e+01,6.995085e+01,-3.328554e-02,3.684900e-01,7.893384e-01,3.398064e-01,-7.000000e-03,2.754462e-04,-2.006685e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.106792e+00,5.491535e-01,-8.368332e-02,2.725635e+02,2.430956e+02,2.110910e+00,2.655892e+03,3.318747e+03,1.805442e-01,4.585385e-03
2.800000e+01,9.812663e+01,7.019868e+01,-3.588160e-02,3.614900e-01,7.896097e-01,3.396156e-01,-7.000000e-03,2.713154e-04,-1.908348e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.073369e+00,3.013184e-01,-8.108727e-02,2.816368e+02,2.433970e+02,2.191997e+00,2.738218e+03,3.318838e+03,1.871193e-01,4.634495e-03
2.900000e+01,9.815360e+01,7.042796e+01,-3.851973e-02,3.544900e-01,7.898769e-01,3.394371e-01,-7.000000e-03,2.671122e-04,-1.784671e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.046396e+00,7.204238e-02,-7.844913e-02,2.906832e+02,2.434690e+02,2.270446e+00,2.820056e+03,3.318843e+03,1.932736e-01,4.683598e-03
3.000000e+01,9.817414e+01,7.063994e+01,-4.119963e-02,3.474900e-01,7.901397e-01,3.392729e-01,-7.000000e-03,2.628436e-04,-1.642524e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.025857e+00,-1.399433e-01,-7.576923e-02,2.997091e+02,2.436089e+02,2.346216e+00,2.901522e+03,3.318863e+03,1.990146e-01,4.732694e-03
3.100000e+01,9.818827e+01,7.083578e+01,-4.392097e-02,3.404900e-01,7.903982e-01,3.391241e-01,-7.000000e-03,2.585161e-04,-1.488109e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.011733e+00,-3.357804e-01,-7.304790e-02,3.087208e+02,2.439447e+02,2.419263e+00,2.982733e+03,3.318975e+03,2.043506e-01,4.781783e-03
3.200000e+01,9.819599e+01,7.101650e+01,-4.668337e-02,3.334900e-01,7.906524e-01,3.389914e-01,-7.000000e-03,2.541355e-04,-1.326925e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.004009e+00,-5.164963e-01,-7.028549e-02,3.177248e+02,2.444612e+02,2.489549e+00,3.063805e+03,3.319242e+03,2.092906e-01,4.830865e-03
3.300000e+01,9.819733e+01,7.118302e+01,-4.948646e-02,3.264900e-01,7.909021e-01,3.388750e-01,-7.000000e-03,2.497072e-04,-1.163753e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.002666e+00,-6.830157e-01,-6.748240e-02,3.267275e+02,2.451442e+02,2.557031e+00,3.144853e+03,3.319709e+03,2.138445e-01,4.879941e-03
3.400000e+01,9.819231e+01,7.133617e+01,-5.232985e-02,3.194900e-01,7.911473e-01,3.387747e-01,-7.000000e-03,2.452361e-04,-1.002656e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.007689e+00,-8.361709e-01,-6.463902e-02,3.357352e+02,2.459804e+02,2.621670e+00,3.225992e+03,3.320408e+03,2.180227e-01,4.929011e-03
3.500000e+01,9.818094e+01,7.147671e+01,-5.521314e-02,3.124900e-01,7.913880e-01,3.386900e-01,-7.000000e-03,2.407267e-04,-8.470056e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.019058e+00,-9.767110e-01,-6.175573e-02,3.447542e+02,2.469571e+02,2.683426e+00,3.307335e+03,3.321362e+03,2.218365e-01,4.978076e-03
3.600000e+01,9.816324e+01,7.160531e+01,-5.813593e-02,3.054900e-01,7.916242e-01,3.386201e-01,-7.000000e-03,2.361833e-04,-6.995091e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.036758e+00,-1.105311e+00,-5.883294e-02,3.537910e+02,2.480624e+02,2.742259e+00,3.388998e+03,3.322584e+03,2.252978e-01,5.027137e-03
3.700000e+01,9.813923e+01,7.172258e+01,-6.109781e-02,2.984900e-01,7.918558e-01,3.385639e-01,-7.000000e-03,2.316094e-04,-5.622543e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.060772e+00,-1.222577e+00,-5.587105e-02,3.628518e+02,2.492850e+02,2.798130e+00,3.471096e+03,3.324078e+03,2.284194e-01,5.076194e-03
3.800000e+01,9.810892e+01,7.182906e+01,-6.409840e-02,2.914900e-01,7.920828e-01,3.385202e-01,-7.000000e-03,2.270088e-04,-4.367602e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.091081e+00,-1.329058e+00,-5.287046e-02,3.719429e+02,2.506141e+02,2.851001e+00,3.553743e+03,3.325845e+03,2.312146e-01,5.125247e-03
3.900000e+01,9.807233e+01,7.192525e+01,-6.713729e-02,2.905290e-01,7.923052e-01,3.384878e-01,-9.609686e-04,2.223845e-04,-3.240315e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.127668e+00,-1.425247e+00,-4.983157e-02,3.810705e+02,2.520393e+02,2.900832e+00,3.637058e+03,3.327876e+03,2.336978e-01,5.126221e-03
4.000000e+01,9.803492e+01,7.201159e+01,-6.865395e-02,2.903559e-01,7.925229e-01,3.384781e-01,-1.731162e-04,2.177395e-04,-9.714025e-06,1.072000e+02,7.050000e+01,-1.169689e-01,9.165081e+00,-1.511586e+00,-4.831492e-02,3.902356e+02,2.535509e+02,2.949147e+00,3.721056e+03,3.330161e+03,2.360322e-01,5.126299e-03
4.100000e+01,9.799739e+01,7.208893e+01,-6.997429e-02,2.903329e-01,7.927398e-01,3.384893e-01,-2.301438e-05,2.168594e-04,1.120641e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.202610e+00,-1.588933e+00,-4.699457e-02,3.994382e+02,2.551398e+02,2.996142e+00,3.805745e+03,3.332686e+03,2.382406e-01,5.126346e-03
4.200000e+01,9.795988e+01,7.215816e+01,-7.125715e-02,2.903346e-01,7.929567e-01,3.385181e-01,1.679358e-06,2.168457e-04,2.885555e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.240123e+00,-1.658162e+00,-4.571172e-02,4.086783e+02,2.567980e+02,3.041853e+00,3.891124e+03,3.335435e+03,2.403302e-01,5.126394e-03
4.300000e+01,9.792240e+01,7.222008e+01,-7.253356e-02,2.903336e-01,7.931736e-01,3.385612e-01,-1.003830e-06,2.169808e-04,4.309046e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.277599e+00,-1.720084e+00,-4.443530e-02,4.179559e+02,2.585181e+02,3.086289e+00,3.977198e+03,3.338394e+03,2.423047e-01,5.126443e-03
4.400000e+01,9.788496e+01,7.227543e+01,-7.381025e-02,2.903297e-01,7.933907e-01,3.386153e-01,-3.873236e-06,2.171131e-04,5.406912e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.315044e+00,-1.775433e+00,-4.315861e-02,4.272710e+02,2.602935e+02,3.129447e+00,4.063968e+03,3.341546e+03,2.441674e-01,5.126493e-03
4.500000e+01,9.784754e+01,7.232487e+01,-7.508716e-02,2.903249e-01,7.936080e-01,3.386773e-01,-4.771536e-06,2.172128e-04,6.205533e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.352462e+00,-1.824868e+00,-4.188171e-02,4.366234e+02,2.621184e+02,3.171329e+00,4.151437e+03,3.344876e+03,2.459214e-01,5.126544e-03
4.600000e+01,9.781015e+01,7.236898e+01,-7.636369e-02,2.903200e-01,7.938252e-01,3.387447e-01,-4.949462e-06,2.172799e-04,6.734457e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.389854e+00,-1.868981e+00,-4.060517e-02,4.460133e+02,2.639874e+02,3.211934e+00,4.239606e+03,3.348369e+03,2.475702e-01,5.126596e-03
4.700000e+01,9.777278e+01,7.240831e+01,-7.763961e-02,2.903150e-01,7.940426e-01,3.388149e-01,-4.996710e-06,2.173188e-04,7.024506e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.427222e+00,-1.908306e+00,-3.932925e-02,4.554405e+02,2.658957e+02,3.251263e+00,4.328479e+03,3.352011e+03,2.491170e-01,5.126648e-03
4.800000e+01,9.773543e+01,7.244332e+01,-7.891484e-02,2.903100e-01,7.942599e-01,3.388860e-01,-5.027246e-06,2.173329e-04,7.107003e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.464567e+00,-1.943322e+00,-3.805402e-02,4.649051e+02,2.678390e+02,3.289317e+00,4.418057e+03,3.355787e+03,2.505651e-01,5.126700e-03
4.900000e+01,9.769811e+01,7.247446e+01,-8.018936e-02,2.903049e-01,7.944772e-01,3.389561e-01,-5.040261e-06,2.173251e-04,7.013059e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.501888e+00,-1.974460e+00,-3.677951e-02,4.744070e+02,2.698134e+02,3.326097e+00,4.508343e+03,3.359686e+03,2.519179e-01,5.126753e-03
5.000000e+01,9.766081e+01,7.250211e+01,-8.146314e-02,2.902999e-01,7.946945e-01,3.390239e-01,-5.030337e-06,2.172978e-04,6.772918e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.539185e+00,-2.002106e+00,-3.550572e-02,4.839462e+02,2.718155e+02,3.361603e+00,4.599339e+03,3.363694e+03,2.531785e-01,5.126804e-03
5.100000e+01,9.762354e+01,7.252661e+01,-8.273620e-02,2.902949e-01,7.949118e-01,3.390880e-01,-4.998773e-06,2.172534e-04,6.415391e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.576459e+00,-2.026611e+00,-3.423267e-02,4.935226e+02,2.738422e+02,3.395835e+00,4.691047e+03,3.367801e+03,2.543504e-01,5.126856e-03
5.200000e+01,9.758629e+01,7.254829e+01,-8.400854e-02,2.902899e-01,7.951290e-01,3.391477e-01,-4.949356e-06,2.171936e-04,5.967421e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.613708e+00,-2.048286e+00,-3.296033e-02,5.031363e+02,2.758904e+02,3.428796e+00,4.783471e+03,3.371997e+03,2.554368e-01,5.126907e-03
5.300000e+01,9.754907e+01,7.256741e+01,-8.528019e-02,2.902851e-01,7.953461e-01,3.392022e-01,-4.886041e-06,2.171204e-04,5.453752e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.650931e+00,-2.067414e+00,-3.168868e-02,5.127873e+02,2.779579e+02,3.460484e+00,4.876611e+03,3.376271e+03,2.564409e-01,5.126957e-03
5.400000e+01,9.751187e+01,7.258425e+01,-8.655118e-02,2.902802e-01,7.955631e-01,3.392512e-01,-4.812431e-06,2.170351e-04,4.896711e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.688129e+00,-2.084249e+00,-3.041768e-02,5.224754e+02,2.800421e+02,3.490902e+00,4.970471e+03,3.380615e+03,2.573662e-01,5.127006e-03
5.500000e+01,9.747470e+01,7.259902e+01,-8.782155e-02,2.902755e-01,7.957801e-01,3.392944e-01,-4.731750e-06,2.169392e-04,4.316074e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.725300e+00,-2.099019e+00,-2.914731e-02,5.322007e+02,2.821411e+02,3.520049e+00,5.065052e+03,3.385021e+03,2.582157e-01,5.127055e-03
5.600000e+01,9.743756e+01,7.261193e+01,-8.909134e-02,2.902709e-01,7.959969e-01,3.393317e-01,-4.646855e-06,2.168339e-04,3.729015e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.762442e+00,-2.111930e+00,-2.787752e-02,5.419631e+02,2.842531e+02,3.547927e+00,5.160358e+03,3.389481e+03,2.589929e-01,5.127104e-03
5.700000e+01,9.740044e+01,7.262317e+01,-9.036060e-02,2.902663e-01,7.962136e-01,3.393632e-01,-4.560238e-06,2.167203e-04,3.150125e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.799556e+00,-2.123165e+00,-2.660826e-02,5.517627e+02,2.863762e+02,3.574535e+00,5.256389e+03,3.393989e+03,2.597009e-01,5.127152e-03
5.800000e+01,9.736336e+01,7.263289e+01,-9.162938e-02,2.902618e-01,7.964302e-01,3.393891e-01,-4.474033e-06,2.165992e-04,2.591482e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.836640e+00,-2.132892e+00,-2.533948e-02,5.615993e+02,2.885091e+02,3.599875e+00,5.353148e+03,3.398538e+03,2.603430e-01,5.127199e-03
5.900000e+01,9.732631e+01,7.264126e+01,-9.289773e-02,2.902574e-01,7.966467e-01,3.394097e-01,-4.390019e-06,2.164716e-04,2.062776e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.873693e+00,-2.141260e+00,-2.407114e-02,5.714730e+02,2.906504e+02,3.623946e+00,5.450638e+03,3.403123e+03,2.609224e-01,5.127246e-03
6.000000e+01,9.728929e+01,7.264840e+01,-9.416569e-02,2.902531e-01,7.968630e-01,3.394254e-01,-4.309638e-06,2.163382e-04,1.571461e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.910714e+00,-2.148404e+00,-2.280318e-02,5.813837e+02,2.927988e+02,3.646749e+00,5.548861e+03,3.407739e+03,2.614424e-01,5.127294e-03
6.100000e+01,9.725230e+01,7.265444e+01,-9.543330e-02,2.902489e-01,7.970792e-01,3.394366e-01,-4.234016e-06,2.161996e-04,1.122941e-05,1.072000e+02,7.050000e+01,-1.169689e-01,9.947703e+00,-2.154445e+00,-2.153556e-02,5.913314e+02,2.949532e+02,3.668284e+00,5.647817e+03,3.412381e+03,2.619062e-01,5.127340e-03
6.200000e+01,9.721534e+01,7.265949e+01,-9.670061e-02,2.902447e-01,7.972953e-01,3.394438e-01,-4.163986e-06,2.160563e-04,7.207716e-06,1.072000e+02,7.050000e+01,-1.169689e-01,9.984659e+00,-2.159492e+00,-2.026825e-02,6.013161e+02,2.971127e+02,3.688553e+00,5.747511e+03,3.417044e+03,2.623170e-01,5.127387e-03
6.300000e+01,9.717842e+01,7.266364e+01,-9.796767e-02,2.902406e-01,7.975112e-01,3.394475e-01,-4.100117e-06,2.159089e-04,3.668697e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.002158e+01,-2.163643e+00,-1.900120e-02,6.113377e+02,2.992764e+02,3.707554e+00,5.847943e+03,3.421725e+03,2.626780e-01,5.127434e-03
6.400000e+01,9.714153e+01,7.266699e+01,-9.923450e-02,2.902366e-01,7.977269e-01,3.394481e-01,-4.042743e-06,2.157578e-04,6.173197e-07,1.072000e+02,7.050000e+01,-1.169689e-01,1.005847e+01,-2.166987e+00,-1.773437e-02,6.213961e+02,3.014433e+02,3.725288e+00,5.949116e+03,3.426421e+03,2.629925e-01,5.127480e-03
6.500000e+01,9.710468e+01,7.266960e+01,-1.005011e-01,2.902326e-01,7.979425e-01,3.394462e-01,-3.991992e-06,2.156033e-04,-1.953512e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.009532e+01,-2.169603e+00,-1.646773e-02,6.314915e+02,3.036129e+02,3.741756e+00,6.051031e+03,3.431128e+03,2.632637e-01,5.127527e-03
6.600000e+01,9.706786e+01,7.267156e+01,-1.017676e-01,2.902286e-01,7.981580e-01,3.394421e-01,-3.947818e-06,2.154459e-04,-4.060874e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.013214e+01,-2.171562e+00,-1.520125e-02,6.416236e+02,3.057845e+02,3.756957e+00,6.153691e+03,3.435844e+03,2.634948e-01,5.127573e-03
6.700000e+01,9.703108e+01,7.267293e+01,-1.030339e-01,2.902247e-01,7.983733e-01,3.394364e-01,-3.910027e-06,2.152858e-04,-5.729840e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.016892e+01,-2.172931e+00,-1.393492e-02,6.517925e+02,3.079574e+02,3.770892e+00,6.257098e+03,3.440566e+03,2.636890e-01,5.127620e-03
6.800000e+01,9.699434e+01,7.267377e+01,-1.043002e-01,2.902209e-01,7.985884e-01,3.394294e-01,-3.878309e-06,2.151233e-04,-6.991625e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.020566e+01,-2.173765e+00,-1.266870e-02,6.619982e+02,3.101312e+02,3.783561e+00,6.361254e+03,3.445291e+03,2.638495e-01,5.127666e-03
6.900000e+01,9.695763e+01,7.267412e+01,-1.055663e-01,2.902170e-01,7.988034e-01,3.394215e-01,-3.852260e-06,2.149585e-04,-7.881890e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.024237e+01,-2.174118e+00,-1.140259e-02,6.722406e+02,3.123053e+02,3.794963e+00,6.466160e+03,3.450018e+03,2.639795e-01,5.127712e-03
7.000000e+01,9.692095e+01,7.267404e+01,-1.068323e-01,2.902132e-01,7.990182e-01,3.394131e-01,-3.831411e-06,2.147918e-04,-8.439209e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.027905e+01,-2.174037e+00,-1.013656e-02,6.825196e+02,3.144794e+02,3.805100e+00,6.571819e+03,3.454744e+03,2.640822e-01,5.127759e-03
7.100000e+01,9.688432e+01,7.267356e+01,-1.080983e-01,2.902094e-01,7.992328e-01,3.394044e-01,-3.815243e-06,2.146233e-04,-8.703713e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.031568e+01,-2.173563e+00,-8.870614e-03,6.928353e+02,3.166529e+02,3.813971e+00,6.678232e+03,3.459468e+03,2.641609e-01,5.127805e-03
7.200000e+01,9.684772e+01,7.267274e+01,-1.093641e-01,2.902056e-01,7.994472e-01,3.393957e-01,-3.803213e-06,2.144532e-04,-8.715912e-06,1.072000e+02,7.050000e+01,-1.169689e-01,1.035228e+01,-2.172735e+00,-7.604740e-03,7.031876e+02,3.188257e+02,3.821575e+00,6.785402e+03,3.464189e+03,2.642188e-01,5.127851e-03
