t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.682900e-01,7.000000e-03,2.000000e-02,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,8.490000e-04
1.000000e+00,1.400000e+02,1.283790e+02,-1.138408e-01,6.098900e-01,9.344700e-01,7.482900e-01,7.000000e-03,2.000000e-02,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.000044e+00,2.620951e+00,-1.521265e-02,4.000044e+00,5.620951e+00,1.521265e-02,8.000176e+00,1.586938e+01,2.314247e-04,1.698000e-03
2.000000e+00,1.399999e+02,1.290993e+02,-9.875187e-02,6.168900e-01,9.144700e-01,7.282900e-01,7.000000e-03,-2.000000e-02,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.000135e+00,1.900717e+00,-3.030159e-02,6.000179e+00,7.521668e+00,4.551424e-02,1.200072e+01,1.948211e+01,1.149611e-03,2.547000e-03
3.000000e+00,1.400184e+02,1.293684e+02,-1.100119e-01,6.238900e-01,9.344700e-01,7.082900e-01,7.000000e-03,2.000000e-02,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.981579e+00,1.631611e+00,-1.904156e-02,7.981758e+00,9.153278e+00,6.455581e-02,1.592737e+01,2.214426e+01,1.512192e-03,3.396000e-03
4.000000e+00,1.400369e+02,1.299917e+02,-9.482283e-02,6.308900e-01,9.144700e-01,7.282900e-01,7.000000e-03,-2.000000e-02,2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.963135e+00,1.008299e+00,-3.423064e-02,9.944893e+00,1.016158e+01,9.878644e-02,1.978127e+01,2.316093e+01,2.683929e-03,4.245000e-03
5.000000e+00,1.400679e+02,1.301755e+02,-1.065004e-01,6.378900e-01,9.344700e-01,7.082900e-01,7.000000e-03,2.000000e-02,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.932106e+00,8.245159e-01,-2.255307e-02,1.187700e+01,1.098609e+01,1.213395e-01,2.351430e+01,2.384076e+01,3.192570e-03,5.094000e-03
6.000000e+00,1.400988e+02,1.307235e+02,-9.116046e-02,6.448900e-01,9.144700e-01,7.282900e-01,7.000000e-03,-2.000000e-02,2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.901235e+00,2.765238e-01,-3.789301e-02,1.377823e+01,1.126262e+01,1.592325e-01,2.712900e+01,2.391722e+01,4.628450e-03,5.943000e-03
7.000000e+00,1.401422e+02,1.308406e+02,-1.027000e-01,6.518900e-01,9.125480e-01,7.082900e-01,7.000000e-03,-1.922030e-03,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.857818e+00,1.593622e-01,-2.635349e-02,1.563605e+01,1.142198e+01,1.855860e-01,3.058049e+01,2.394262e+01,5.322957e-03,6.395694e-03
8.000000e+00,1.401956e+02,1.309142e+02,-1.016008e-01,6.588900e-01,9.092936e-01,6.882900e-01,7.000000e-03,-3.254385e-03,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.804351e+00,8.579141e-02,-2.745269e-02,1.744040e+01,1.150777e+01,2.130387e-01,3.383617e+01,2.394998e+01,6.076607e-03,6.855285e-03
9.000000e+00,1.402598e+02,1.309243e+02,-1.013129e-01,6.658900e-01,9.090953e-01,6.682900e-01,7.000000e-03,-1.983109e-04,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.740244e+00,7.571310e-02,-2.774058e-02,1.918065e+01,1.158348e+01,2.407793e-01,3.686462e+01,2.395571e+01,6.846147e-03,7.304325e-03
1.000000e+01,1.403330e+02,1.309363e+02,-9.894162e-02,6.728900e-01,9.088470e-01,6.482900e-01,7.000000e-03,-2.482410e-04,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.666963e+00,6.366942e-02,-3.011185e-02,2.084761e+01,1.164715e+01,2.708911e-01,3.964339e+01,2.395976e+01,7.752870e-03,7.753386e-03
1.100000e+01,1.404155e+02,1.309502e+02,-9.655165e-02,6.798900e-01,9.084035e-01,6.682900e-01,7.000000e-03,-4.435811e-04,2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.584516e+00,4.984529e-02,-3.250182e-02,2.243213e+01,1.169700e+01,3.033930e-01,4.215408e+01,2.396225e+01,8.809238e-03,8.202583e-03
1.200000e+01,1.405012e+02,1.309628e+02,-9.475289e-02,6.868900e-01,9.071065e-01,6.482900e-01,7.000000e-03,-1.296972e-03,-2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.498842e+00,3.717593e-02,-3.430058e-02,2.393097e+01,1.173417e+01,3.376935e-01,4.440061e+01,2.396363e+01,9.985768e-03,8.653265e-03
1.300000e+01,1.405964e+02,1.309585e+02,-9.290337e-02,6.938900e-01,9.076455e-01,6.682900e-01,7.000000e-03,5.390685e-04,2.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.403553e+00,4.145862e-02,-3.615009e-02,2.533452e+01,1.177563e+01,3.738436e-01,4.637057e+01,2.396535e+01,1.129260e-02,9.102556e-03
